LUK.1.1	Он-ка укал хоял хачал бичэвур тэлэӈур дукудилритан, 
LUK.5.27	– Минду бодасли.
LUK.5.28	Нян Левий илрин, эйду эмэниди, Ноӈандун бодаснин.
LUK.5.29	Эгдем тойнэчэку Левий Ноӈандун овканин; хоял тамам чакамчимӈал, хөнтэл-дэ нимэгнэчэл ноӈарнюнтан тала тэгэлэӈчиритэн. 
LUK.5.30	Итум хупкучимӈэл, фарисеил-дэ иръеттитэн
LUK.5.30	– Ядавур тамам чакамчиӈалнюн төнӈэкичилкэрнюн-дэ Ху дебэдис, коладис-та? 
LUK.5.31	Иисус-нян ноӈартакитан барагрин:
LUK.5.31	– Як абгарар бэгдэчимӈэв надар, бутэнрил-тэкэр надар. 
LUK.5.32	Як айгарарил төнӈэкичур минтэки тэлэӈдэтэн би эмрив, төнӈэкичу-ткэн овканчал минтэки тэлэӈдэтэн би эмрив.
LUK.5.33	Ноӈартан-аси Ноӈантакин гөнитэн:
LUK.5.33	– Ями-нян Иоанн, фарисеил-дэ хупкуттыӈэлтэн хояракан улрэв, олрав-да эстэн дебботтэ, нэӈэддёттэ-дэ, Хинӈил-нян хупкуттыӈэлси дептэ, колра-да?
LUK.5.34	Ноӈан нонартакитан барагрин:
LUK.5.34	– Он-ка олдадякту олдадды дялбан этэс улрэв, олрав-да дебукэн, олдадды ноӈарнюнтан биддэкэн, 
LUK.5.35	ок-ка хөнтэл инэӈэл одакатан, Олдадды ноӈардукутан хөруврэкэн, таракам ноӈартан улрэв, олрав-да этэр дептэ.
LUK.5.36	Тадук ноӈартакитан тэлэӈу тэлэӈрин:
LUK.5.36	– Ӈи-дэ анӈамтадук ойдук утыӈу гирриди, ирбэту ою тарич эсни уттоттэ, тарбач анӈамтав-да ою гиркатчин, ирбэту-тэ ою тарич этэн айра. 
LUK.5.37	Ирэмэту-дэ минэв ирбэтлэ тэпкэлэ эстэн оӈкэвэттэ; тармадит ирэмэт минэ тэпкэлбу насарукандин, мэнкэн-дэ оӈкэлбэдин, тарбач тэпкэл-дэ хоибдир. 
LUK.5.38	Ирэмэту минэв анӈамтала тэпкэлдулэ оӈкэннэтэн, таракам минэ, тэпкэлдэ одябдир. 
LUK.5.39	Тарбач ӈи-ккэ ирбэту минэв колдин, ирэмэту этэн коламалра, унэт гөндин-дэ: «Ирбэт аидьмар!»
LUK.6.1	Өмнилэ субботала, Пасха гя инэӈэӈнэн, Иисус килебу исувкэчидекли төрли ӈэнэддин, Ноӈан хупкуттыӈэлни килеб нёчэвэн иссэдюр, няӈтаван чуптакритан, ӈалдюр тарав бурдук окан чилкаридюр, дептитэн. 
LUK.6.2	Хан фарисеил ноӈартакитан гөнитэн:
LUK.6.2	– Ядавур тарав некэс, субботала тачимур эннэвур некрэ?
LUK.6.3	Иисус ноӈартакитан барагрин:
LUK.6.3	– Эв ху эчилсэн таӈра, Давид мэнкэн дебэмэлми, ноӈнюнни-дэ бичэл дялни дебэмэлрэкэтэн, некчэвэн? 
LUK.6.4	Он ноӈан Хэвки Дюлан ириди, болдывум Хэвкиду килебу гадин, тарав попал аӈилитан ӈи-дэ эннэн дептэ бис, нян тарав килебу дептин, нян ноӈнюнни-дэ бичэлду дялди дебдэтэн бөрин?
LUK.6.5	Нян ноӈартакин гөнин:
LUK.6.5	– Бэй Хутэн Оча суббота-да хунӈин.
LUK.6.6	Нян гяла субботала Иисус нэӈэдеклэ дюла
LUK.6.7	Итум хупкучимӈэл, фарисеил-дэ Иисусу хипкаттитан, субботала бэгдэчиннэвэн, Ноӈан ускан овкандавур. 
LUK.6.8	Тарбач Ноӈан мулгачавутан ханикан, чумчач ӈаллатытки бэйтэки гөнин:
LUK.6.8	– Илли, нян дулакандула гиркали.
LUK.6.8	Тарак бэй илрин, дулакандула гиркарин. 
LUK.6.9	Таракам Иисус ноӈартакитан гөнин:
LUK.6.9	– Би хуну улгэмдэку, яв-нян итундули субботала некэвми ай бидин? Аю, эв усу-гу? Ханим айчими, эв көкэвкэми?
LUK.6.9	Ноӈартан хикутывчиритан. 
LUK.6.10	Нян ноӈартакитан эйдуткин ичисниди, тартаки бэйтэки гөнин:
LUK.6.10	– Ӈали алли!
LUK.6.10	Ноӈан тачин некрин. Нян ӈалан ай одни, гяӈчин. 
LUK.6.11	Фарисеил тикулритан, нян мэр доливур төрэдилритэн, яв-да Иисусту нектэвур.
LUK.6.12	Таралдула инэӈэӈнэтэн Иисус урэкчэндулэ нэӈэддэй ойчирин, нян долбуну чөптэрэ Хэвкитки нэӈэдникэн тала биддин. 
LUK.6.13	Инэӈ-нян одакан, хупкуттыӈэлбий эмдэтэн эририн, мян дӫрбу ноӈардукутан хинмарин, апостолалди гэрбурин:
LUK.6.14	Симону, ноӈман Пётэрач гэрбурин, Андрею-да, ноӈан акман Иакову, Иоанну-да, Филиппу, Варфоломею-да, 
LUK.6.15	Матфею, Фомав-да, Алфей Иаковвон, нян Симон, Зилотач гэрбуттыв, 
LUK.6.16	Иаковлев Иудаван, нян Иудав Искариоту, дюлэски эмкэмӈэ оннав.
LUK.6.17	Ноӈарнюнтан эвририди, Иисус авландула илрин, нян хоя Ноӈан хупкуттыӈэлни, хоя-да бэил Иудея чэлэдукун, Иерусалимдук, намгидал-да төрэлдук Тирдук, Сидондук-тэ чакаптитан. 
LUK.6.18	Ноӈман долчидавур эмчэл, энэкэлбур-дэ бэгдэттэвур, ариӈкалду-да хилрил, аил одитан. 
LUK.6.19	Чэлэдюр бэил Иисусу тэмисэндэвур дагамасчиритан, ноӈан таррөчинь айчирич эӈилэттэкэн. 
LUK.6.20	Нян Ноӈан, ясалди хупкуттыӈэлтэкий ичисниди, гөнин:
LUK.6.20	– Нисэлкэсэл дӫгрил. Хэвки Тэгэмэрэдекчин ху тэгэмэрэдеклэчис. 
LUK.6.21	Нисэлкэсэл тек демсил. Хэвки хуну дялувкандин, нисэлкэсэл тек хоӈрил. Ху инингэрэдис. 
LUK.6.22	Ху нисэлкэсэл, хуну тек тыкунакататан, эрэссэкэтэн, яргаракатан, гэрбэвусэн-дэ учиттакатан, Бэй Хутэн Очав тэдеттэкэсэн, 
LUK.6.23	өрэлдэӈэсэн тарав инэӈу, хокаӈчиӈасан, няниндула эгдем дёлдаӈавур бакчис. Тек хуну тыкунил бэил амтылтан эчинтэтит Хэвки мэтумӈэлбон тыкунитан.
LUK.6.24	Ху-си, эӈэел, унэт хилгарадис! Ху укал элэкэн аваӈчинмайгавур бакрисан. 
LUK.6.25	Ху, тек элэкэн дялуттыл, хилдис! Ху унэт дюлэски демдис. Ху, тек элэкэн ининрил, хилгарадис, ху, хоӈникан, этэрдис. 
LUK.6.26	Тек хуну чэлэн бэил эскэрэкэтэн, ху унэт дюлэски хилгарадис! Тачимур-та эрэл бэил амтылтан Хэвки мэтумӈэлдин олэкэнь гэрбутчэлбу эскэритэн.
LUK.6.27	Хунтэки, мину долчирилтаки, би гөнэм: мэн баргакалбур аявгаралра, хуну тыкунилбу аиӈгатан нэккэрэлрэ, 
LUK.6.28	хуну ниӈиттылбу – ирэмкэткэгрэлрэ, хуну осэгрилбу – ноӈарбутан нэӈгэрэлрэ. 
LUK.6.29	Ӈи хин хячиндулас пасакладин, гяв хячми алиматӈанри, ӈи хин тэтивус-тэ тестирэкэн, мэн урбаки-да эмэкэн мулан. 
LUK.6.30	Эйдудун хиндулэ гасчирилду – бөгрэли, хиндулэ-дэ гачавутан, амаски эди гасчиграр. 
LUK.6.31	Эйду, яв-ка ху аявас хөнтэл бэил хунду нектэтэн, ху-дэ тачин ноӈардутан неккэрэлрэ. 
LUK.6.32	Нян хуну аяврилбу аявракасан, як тали хунду дёлдаӈасан бидин? Төнӈэкичу-дэ некрил бэил ноӈарбутан аяврилбу аявотта. 
LUK.6.33	Нян хуну айрилбу-ткан айракасан, як тали хунду дёлдаӈасан бидин? Төнӈэкичу-дэ некрил бэил тачин неккоттэ. 
LUK.6.34	Бөргэрилду-ткэн бэилду онурэкэсэн, як тали хунду дёлдаӈасан бидин? Төнӈэкичу-дэ некрил мэр доливур онумэтчёттэ, дюлэски бөргэмэттэвур. 
LUK.6.35	Ху-си баргакалбур аявгаралра, бэлгэрэлрэ, онугрэлрэ-дэ, амаски мучувкам эникэн алатта. Таракам эгдем дёлдам баккарадис, Няниндула Биси нярудилни оградис, Ноӈан этылбу-дэ бачибар, усалбу-да аявран. 
LUK.6.36	Илрагралра, хун Амансан илраграгчинни.
LUK.6.37	Кэнелич эдилрэ гөгрэкилрэ – хуну-дэ кэнелич этэр гөгрэр, эдилрэ усалтагракилра – хуну-дэ этэр усалтаграр; хэлэгрэлрэ – хуну-дэ хэлэгрэгрэдир. 
LUK.6.38	Бөгрэлрэ – хунду-дэ бөгрэдир, илкан эгдень милтэрэч бөгрэдир: тилбадир, чапчидир, хэелин окан тэтивусэн дован милтэрэмкэндир. Иррөчинь илкэвунь ху илкэвэчис, таррөчин-да хунду илкэтчир.
LUK.6.39	Иисус ноӈартакитан эррөчим тэлэӈу тэлэӈрин:
LUK.6.39	– Өмэн-нян баликач бэй хөнтэв баликачу элгэдин-гу? Дӫричэндюр-нян кэӈрэлэ этэр тикрэ? 
LUK.6.40	Хупкутты хупкучимӈэй ойдэлин эсни бивэттэ, хупкуттый-тэкэн мудакриди, хупкучимӈэй гасанни оградин. 
LUK.6.41	Ями-нян акми ясаллан тукару ичинри, мэн ясаллай мукэчив эникэн иттэ? 
LUK.6.42	Он-нян акантакий эчин гөндинри: «Акму! Хин ясалдукус тукару нудаку», – мэн ясаллай мукучив эникэн иттэ? Өлэк! Дюлэгэч мэн ясалдукий мукучив нули – тадук-нян, акми ясалдукун тукару он-да нудай итчинри.
LUK.6.43	Ай хякита кэнели няӈтан эсни бивэттэ, тарбач хявус хякита ай няӈтан эсни бивэттэ. 
LUK.6.44	Кубэччон хякитав няӈталин хаватта, инжиру терновникли эстэн тэвливэттэ, винограду-нян хятакагдук эстэн аталлотта. 
LUK.6.45	Кэнели бэй мэн мявми кэнелив некчинмэйдукун кэнелив бөвэттэн. Бэй мявунни яч милтэрэӈчин, таррөчин-да төрэнни бидин.
LUK.6.46	Ядавур ху Мину гэрбуччӫчис: «Хунӈи! Хунӈи!» – Мин гөниву эникэн некрэ? 
LUK.6.47	Ӈи Минтэки эммөтэн, Ӈи Мин гөниву долчиваттан, мин гөнчэгчиму неккоттэн, хунтэки гөндим, тарак ӈи урэчин. 
LUK.6.48	Бэй дюгай одды урэчин, тарак эгдем кэӈрэв улрин, нян дю хаттон дӫлла овканин. Окат тылканакан, дюн эч мөдэмрэ, эч кавамра, аич оча бими, дӫлду илатми. 
LUK.6.49	Ӈи Миӈ гөниву долчиваттан, гөнигчиму эникэн некрэ, ноӈан дюгай кэӈгулэлэ, ач хатлач төрлэ овканча бэй урэчин, окат тылканакан, тарак дю тикрин, энтэкэе тарак дюн кавамрин.
LUK.7.1	Төрэддий оддыди, Иисус Капернаумтаки хөррин. 
LUK.7.2	Тала өмэн римскай офицер кэлмэн бутэнрин, көкэсчирин. Офицер тарич кэлмэди хэрриӈнэттин. 
LUK.7.3	Теми Иисус хомиван долдариди, иудейскаилбу каганкарбу Ноӈман гөнэвкэнин, гастидатан Иисус эмдэн, кэлмэвэн айдан. 
LUK.7.4	Каганкар эмридюр, гасчидилритан:
LUK.7.4	– Эрэв бэю хи бэлэннэс. Эрэк ай бэй. 
LUK.7.5	Ноӈан муну бэллоттэн, мун нэӈэдекэкун-дэ дюв овканин.
LUK.7.6	Иисус ноӈарнюнтан хөррин. Ноӈан укал офицер дюлан исадилракан, офицер мэн дялби ноӈантакин гөнэвкэнин:
LUK.7.6	– Мин Хунӈив! Би эсэм тачикан хэррин бис, Хин мин дюлаву идэс, 
LUK.7.7	би-дэ-титтэ эчу Хинтэки эмрэ, эми хэррин бис. Төрэснэкэс-тэ мин кэлмэв ай один. 
LUK.7.8	Би-дэ мэнкэн кэлмэгчинтэттэ бисэм, мин-дэ өйдэлив бэгэсэл бис, би-си мэнкэн солдатал бэгэнтэн бисэм. Би өмэнтэки гөндим: «Эмни эвуски», тарак эммоттэн. Кэлмэткий гөндим: «Эрэв некли», ноӈан тарав некчин.
LUK.7.9	Иисус, тарав гөнчэвэн долдариди, мянин, амардалай ӈэнрилтэки эсэниди, ноӈартакитан гөнин:
LUK.7.9	– Хунтэки гөнэм, эррөчим эгдем хэрридеку Би ок-та, Израилла-да-титта, эчу долдар.
LUK.7.10	Гөнэчэл, амаски мучуми, офицер кэлмэвэн абгару иттитэн.
LUK.7.11	Амрак Иисус городтаки Наинтаки хөррин, ноӈандун хупкуттыӈэлни, хоя-да хөнтэл бэил бодаснитан. 
LUK.7.12	Городла иссадакан, тадук ноӈман дюлгич көкэчэв нёвуддытэн. Көкэчэ навун аси омнин нярудин бисин. Хоя иранучал бэил чакабтитан. 
LUK.7.13	Тарав иттыди, Хунӈит көкэчэ эньмэн илралрин.
LUK.7.13	– Эди хоӈкил, – Ноӈан аситки гөнин.
LUK.7.14	Тадук Ноӈан көкэчэтки дагамрин, ӈалди көкэчэв инулдывум тэмиснин; көкэчэв ӈалаччал бэил илритан; нян Иисус гөнин:
LUK.7.14	– Хуркэн, хинтэки гөнэм, илли!
LUK.7.15	Көкэчэ, арриди, тэгрин, төрэдилрин, нян Иисус ноӈман эниндун алимуканин. 
LUK.7.16	Хэӈулчэл бэил Хэвкив эскэдилритэн, гөникэн: «Мут долат Хоми бакурин, Хэвки эмрин муту бэлдэй». 
LUK.7.17	Иисус хомиван эйдули Иудея төрэӈлин, эйдулин анчиндулин-да бисили төрли долдаритан.
LUK.7.18	Иоанн хупкуттыӈэлни эйдувэн бичэв ноӈантакин тэлэӈритэн. 
LUK.7.19	Иоанн дӫрбу хупкуттыӈэлби мэнтэкий эмдэтэн эририн, тадук-нян Иисустэки улгэмнэвкэнин:
LUK.7.19	– Хи тарак бисэнри ӈи мунтэки эмэннэ, эв хөнтэв бу алачиннавун?
LUK.7.20	Ноӈартан Иисустэки эмритэн, нян гөнитэн:
LUK.7.20	– Иоанн Хэвкигри муну Хинтэки улгэмнэвкэнин: «Хи тарак бисэнри, ӈи мунтэки эмэннэ, эв хөнтэв бу алачиннавун?»
LUK.7.21	Таракам ноӈан хояв бэилбу бутэнрилбу айрин, энэкэлбутэн бэгдэттин, ариӈкалду ханачиврилбу айрин, хояв-да баликачилбу коедэтэн айрин. 
LUK.7.22	Иисус ноӈартакитан барагрин:
LUK.7.22	– Ӈэнэлрэ Иоаннтаки, болганалра чэлэвэн, яв-ка ху коерисэн, долдарисан-да: баликачил нян-да коелрэ, гөнекэл гиркавачилра, игатач бутэнрил тэссэптэ, хяӈанал долдалра, көкэчэл арра, дӫгрил өрэлдэм Мэтум долдар. 
LUK.7.23	Тарак-та несэлкэн, ӈи Мину тэдеттэн.
LUK.7.24	Иоанн гөнэвкэнчэлни хөррэкэтэн, Иисус бэилтэки Иоам тэлэӈэдилрин:
LUK.7.24	– Ядавур ху ониӈакагтаки хөллотисэн? Коӈат эдэнду гургэлдэривэн коеттэвур? 
LUK.7.25	Яв-макан иттэвур хөллотисэн? Нодач тэтылэттыв бэю иттэвур некрисэн? Тарбач нодач тэтылэттыл бэил эӈэел тэгэмэрэл дюлдулатан бивэттэ. 
LUK.7.26	Ӈив-мэкэн ху иттэвур некрисэн? Мэтумӈэв? Айдит, хунтэки-дэ Би гөнэм, ноӈан мэтумӈэ ойдэлин бисни. 
LUK.7.27	Ноӈман Хэвки Дукундулан дукутча бисни: «Эр Би Мэн Мэтумӈэй Хин дюлдэлэс ӈэнукэнэм, ноӈан Хин Хотарӈас хотардин». 
LUK.7.28	Хунтэки гөнэм, асал балдавканчатан бэил долитан өмэндэ мэтумӈэ Иоанн Хэвкигри ойдэлин биси ачча; тарбач Хэвки Тэгэмэрэдеклэн эйдудукэн тала бисилдук кучукэӈэтэн Иоанн ойдэлин бисни.
LUK.7.29	Эйдучэндюр бэил, Иисус гөнивэн долчиччал, тамам чакачимӈал-да, Хэвкив эскэритэн, айдитач унуритан, нян Иоаннтаки хэвкивдэгэвур авнаритан. 
LUK.7.30	Фарисеил-нян Итум хупкучимӈэлнюн Хэвки гөнчэвэн эчилтэн унумалра, Иоанндула хэвкивдэгэвур эчилтэн авамалра.
LUK.7.31	Таракам Иисус гөнин:
LUK.7.31	– Ӈинюн тэрэмкэтчим эрэлбу бэилбу? Ӈи ноӈартан урэчилни? 
LUK.7.32	Куӈал толин тэгэттыл, мэр доливур иркамачиддыл, эчин гөнил урэчилтэн: «Бу кекэлдывунду кекэривун, ху-си эчилсэн коплэчир; бу этэрэм икэм икэривун, ху-си эчилсэн хоӈра». 
LUK.7.33	Иоанн Хэвкигри эмрин: килебу эсни дептэ, минэв-дэ эсни колра, тарбач ху гөнэс: «Ноӈан ариӈкалкан». 
LUK.7.34	Бэй Хутэн Оча эмрин, дептэн, колран, ху гөнэс: «Коетлилрэ, эр дебэтур, минэв-дэ колдай аяври, тамам чакачимӈал, төнӈэкичу-дэ некрил ноӈандин хараклатта». 
LUK.7.35	Тарбач Хэвки мулганни хурэлни тарав чэлэдюр айдитач унуритан.
LUK.7.36	Өмэн фарисей Иисус дебнэдэн эририн, Иисус фарисей дюлан эмриди, дебэдеӈкэ анчиндулан дебэддэй тэгрин. 
LUK.7.37	Тарбач өмэн аси, городла ноӈман холгэч тутэнридин гөвэттэ, фарисей дюлан Иисус нимэгнэчэ дебэддывэн долдариди, тала эмрин, унӈэс хэтэлкэм алику эмурин. 
LUK.7.38	Иисус бодэлэн амардадун илриди, хоӈадилрин, аси инӈамтални Иисус бодэллэн оӈкэлбэритэн, аси тарав мэн нюрютчи аврин, Иисус бодэллон гуденикэн, унӈэсэч хэтэч хэсирин. 
LUK.7.39	Иисус дебнэдэн эричэ фарисей, тарав иттыди, мулгаттин: «Эрэк бэй, мэтумӈэ бими, хамчи, эрэк тэмири аси холгэ тутэнри бисивэн». 
LUK.7.40	Тарбач Иисус ноӈантакин гөнин:
LUK.7.40	– Симон, Би яв-да хинтэки гөннэв.
LUK.7.40	– Хупкучимӈэ, гөли! – тарак барагрин.
LUK.7.41	– Өмэндулэ онумӈэлэ бэйлэ дёр бэил онуритэн, өмэн тунӈан нямав мэӈэм онурин, гя-тунӈанмяру. 
LUK.7.42	Нян ноӈартан бөргэдэвур туркуритэн, онумӈэ бэй дӫричэмэн хэлэрин. Тарбач ӈи ноӈардукутан ноӈман энтэкэеч аяваннан?
LUK.7.43	– Би таӈаттам тарав, ӈиду онумӈэ эгдедьмэру хэлэрин, – Симон барагрин.
LUK.7.43	– Хи айдитач мулгачинри, – Иисус гөнин.
LUK.7.44	Нян аситки ичисниди, Симонтаки гөнин:
LUK.7.44	– Тарав асив коенри? Би хин дюлас эмрив, хи Минду мөв эчис-тэ бөр, бодэли авдаку. Ноӈан-аси мэн инӈамталди, нюритчи-дэ Мин бодэлу аврин. 
LUK.7.45	Хи Мину арчами эчис гуден, ноӈан-аси Мин эмчэдукуг бодэлу унэт гудендиддэн. 
LUK.7.46	Хи Мин дылу хэтэч эчис хэсир, ноӈан-аси Мин бодэлу хунӈэсич хэсирин. 
LUK.7.47	Теми Би хинтэки гөндим, эрэк аси хояв төнӈэкичу некрин, тарак очан төнӈэкичил чэлэн аталапта, энтэкэеч ноӈан аявракан; ӈи абалач аявоттан, теми тарак төнӈэкичин абалачта аталабботтан.
LUK.7.48	Иисус аситки гөнин:
LUK.7.48	– Төнӈэкичис аталаптан.
LUK.7.49	Иисус анчиндулан дебэтчэл мэндэтчур мулгачидилритан: «Ӈи-нян эрэк, төнӈэкичу-дэ аталри?» 
LUK.7.50	Иисус аситки гөнин:
LUK.7.50	– Хину хин тэденси айрин, аймакань ӈэнэссоли.
LUK.8.1	Тадук Иисус городалдули, билэкэлдули ӈэнрин, Өрэлдэм Мэтум Хэвки Тэгэмэрэдеккон тэлэӈникэн. Ноӈнюнни мян дӫр хупкуттыӈэлни ӈэнритэн, 
LUK.8.2	асал-да боддитан, бутэнэктук, ариӈкадук Иисус айчални: Мария, Магдалинач гэрбутты, Иисус ноӈан эмдэдукун надам ариӈкав нӫвкэнин, 
LUK.8.3	Ирод дюгуртэмӈэн Иоанна Хуза атыкаӈан, Сусанна, унэт хоя хөнтэл-дэ, мэн эӈэедюр Иисусу ноӈартан бэлритэн.
LUK.8.4	Иисустэки хоя бэил чэлэн городалдук ӈэнритэн. Өмнэкэн хоя бэил чакаптакатан, Иисус ноӈартакитан өмэм тэлэӈу тэлэӈрин:
LUK.8.5	– Килебу исувкэтты бэй исувкэчидилрин. Няӈтав исудэн усиӈэчиддэкэн, хаӈан няӈтаӈални хотаран холилэн тикритэн, таралбу няӈталбу хэкритэн, няниндула дэгготтыл дэгил дептитэн. 
LUK.8.6	Хан няӈтал дёлакагла тикритэн, нян исудилми, олгаритан, ач мөмна бими. 
LUK.8.7	Хан ичик долан тикритэн, ичик исуми, таралбу няӈталбу кадаттин. 
LUK.8.8	Хан айла төрлэ тикритэн, исуми, аю эгдем нямав няӈтав исувкэнитэн.
LUK.8.8	Нян тарав тэлэӈриди, Иисус дылгурач гөнин:
LUK.8.8	– Ӈи кориталкан, тарав долдадан!
LUK.8.9	Хупкуттыӈэлни Иисусу улгимидилритэн, яв эрэк Ноӈан тэлэӈрин.
LUK.8.10	Ноӈан барагрин:
LUK.8.10	– Ху Хэвки Тэгэмэрэдекэн делэмон
LUK.8.11	Эрэк-нян тэлэӈ гөнни: няӈта – эрэк Хэвки төрэнни. 
LUK.8.12	Няӈтал, хотаран холилэн тикчэл, тарак бэил төрэм долдачал, тадук-нян дявал эмрэкэн, мявундукур тарав төрэм дявалду гавчал, эдэтэн тэдер, эдэтэн айчивра. 
LUK.8.13	Няӈтал, дёлакагла тикчэл, тарак бэил төрэм долдачал, долдами өрэлдэчэл, нян ӈиӈтэтэн ачча бисэкэн, теми адыв-да тэдеччоттэ, нян осэчилми, тэдемур бэривэттэ, Хэвкив омӈаватта. 
LUK.8.14	Няӈтал, ичик долан тикчэл, тарак бэил төрэм долдачал, нян гургэдюр, эӈэедюр, өрэлдэвкэндюр тынниввөттэ, тарбач нӫчэӈэтэн эсни иррөттэ. 
LUK.8.15	Нян няӈтал, айла төрлэ тикчэл, тарак бэил төрэм долдачал, айла илрамагандула мявундулавур тарав төрэм нэкчичэл, хилусу дабдуканчал, аю няӈтав балдавкавөтта.
LUK.8.16	Нейкэв нейкэриди, ӈи-дэ екэч эсни кумтэвэттэ, тэдэн-дэ хэрдэлэн эсни тэввөттэ. Тарав нейкэв нейкэруклэ тэввөттэ, эйдучэндюр ирил ӈэрим коедэтэн. 
LUK.8.17	Як-та иррөчин хумэчин ачча, эты айдит од, як-та иррөчин дяючин ачча, эсимэ эты аӈапты од, эты-дэ ичури од. 
LUK.8.18	Тарбач мэнтэкивур амаски коеткэрэлрэ, он-да долчиривур: ӈи-ккэ яӈан-да бидин – тарак унэт бөвдин, ӈи-ккэ яӈан-да ачча – биннэв-дэ ноӈандулан тарав-да тевдин.
LUK.8.19	Өмнэкэн Иисус энинни, акнилни-да ноӈантакин эмритэн, нян хоя бэил чакаптакатан, дагамӈа туркуритэн. 
LUK.8.20	Иисустэки болганаритан:
LUK.8.20	– Хин энинси, акнилси-дэ төллэ илатта, Хиннюн ичилдэдэвур некрэ.
LUK.8.21	Тарбач Ноӈан болганарилтакин барагрин:
LUK.8.21	– Ӈи Хэвки төрэмон долчиваттан, тачин гөнчэгчинни неккотэн, таралди Би эннэттэм, акнаттам.
LUK.8.22	Өмнэкэн Иисус хупкуттыӈэлтэкий гөнин:
LUK.8.22	– Төӈэр бардаткин давдакун.
LUK.8.22	Ноӈартан момила ойчиритан, бассаки момираснитан. 
LUK.8.23	Даваддакатан, Иисус хуклэснин. Таракамат энтэкэе хунӈэ хунӈэлрин, төӈэрлэ биялга один. Даваддыл момитан хунӈэду усиӈэчиврин, мөдэмрин, хэӈунь ӈэлэм один. 
LUK.8.24	Иисус хупкуттыӈэлни, ӈэлэлридюр, Ноӈантакин дагамридюр, хоруритэн:
LUK.8.24	– Хупкучимӈэ, мөлэ тыкэдилрэп!
LUK.8.24	Ноӈан илрин, хунӈэв хунӈэривэн одуканин, биялгав тывнэвкэнин, эрэли ач иглэ один. 
LUK.8.25	Таракам Ноӈан хупкуттыӈэлтэкий гөнин:
LUK.8.25	– Илэ-нян хун тэденсэн?
LUK.8.25	Ноӈартан-аси, хэӈулчэл, мэр доливур мяӈчидилритан: «Ӈи-нян Ноӈан? Эсөми хунӈэтки, мөтки-дэ төрэрэкэн, тарал Ноӈман долдар».
LUK.8.26	Тарбач Гадаринскайла төрлэ, Галилея бардалан бисилэ, ноӈартан момирритэн. 
LUK.8.27	Иисус ӈяла төттэкэн, Ноӈман өмэн бэй арчанин, тарак бэй тытэрэптук ариӈкаду хилрин, ач-та ойла гиркаваттин, буин бисин, алдысагач-та дюлаттин. 
LUK.8.28	Иисусу иттыди, иркалрин, Ноӈман дэпки хэнӈэнди тикрин, гөникэн:
LUK.8.28	– Яв мину Хи наданри, Иисус, Ойлэ Биси Хутэн? Накарам Хину, эди мину хилгаткил.
LUK.8.29	Иисус тарак бэй эмдэдукун ариӈка нӫдэн гөнин, теми-дэ бэй тачин гөнин. Укал гөру тарак бэй ариӈкаду хилрин, куиргач ноӈман бодэллин, ӈаллин оневэттэ, тарбач ариӈкаду хилми, тарав куиргав дэбгэрроттэн, тар бугуски хэтэкэвэттэн, ариӈкаду хөрруввоттэн.
LUK.8.30	– Ӈи хин гэрбэс? – Иисус ноӈман улгэмрин.
LUK.8.30	– Легион, – тарак барагрин, хояду ариӈкаду эмдэлэй ивэвми.
LUK.8.31	Тарал ариӈкал Иисусу накадилритан, Ноӈан тарак бэй эмдэдукун ноӈарбутан эдэн бунилтэки хөрукэн. 
LUK.8.32	Тала-тта хопкэчэндулэ чиввиннял эгден хада оӈкаддитан. Ариӈкал Иисусу гастидилритан, чиввиннял эмдэтэн долан идэвур. Иисус ивкэнин. 
LUK.8.33	Ариӈкал, бэй эмдэн додукун нёридюр, чиввиннял эмдэлтэн долан иритэн: тарбач тарак хада элрэнӈэдук мэлуӈчирин, төӈэрлэ гобэнӈэрин. 
LUK.8.34	Косчимӈэл, тарав иттыдюр, хэтэкэнитэн, городла, билэкэлдули коечэвур тэлэӈнэритэн. 
LUK.8.35	Бэил итнэритэн хадавур, як-та бичэвэн. Иисустэки ӈэнридюр, бэю иттитэн, тарак эмдэн додукун ариӈкал нёритэн, тарбач тек тарак бэй абгар, тэтыч тэтутты, Иисус бодэлэн хатлан тэгэттин. Бэил хэӈулритэн. 
LUK.8.36	Коечэл эмчэлтэки тэлэӈритэн, он-да тарак ариӈкалду хилча бэй абгар один. 
LUK.8.37	Тарбач эйдучэндюр бэил Гадаринскайла төрлэ бичэл, ӈэлэмэч хэӈулридюр, Иисусу гасчидилритан, төрэӈдукутэн Ноӈан хөрдэн. Иисус момила ойчирин, амаски момираснин. 
LUK.8.38	Ариӈкадук айчан бэй Ноӈнюнни бодасандай гасчидилрин. Нян Иисус ноӈман тынин, гөникэн:
LUK.8.39	– Дюткий мучули, тэлэнӈэнри-дэ, яв-да хинду Хэвки некчэвэн.
LUK.8.39	Тарак бэй хөррин, городла чэлэдун бисилтэки тэлэӈрин, яв-да Иисус ноӈандун некчэвэн.
LUK.8.40	Иисус амаски мучуракан, хоя бэил, эмривэн алачиччал, Ноӈман арчанитан. 
LUK.8.41	Тарбач өмэн бэй, Иаир гэрбэди, нэӈэдек дю ӈунэмэчимӈэн, эмрин; Иисусу дэпки хэнӈэнди тикриди, дюлан ӈэндэн Ноӈан гасчирин. 
LUK.8.42	Бэй өмнин хунадин, мян дӫрди анӈанаӈди асаткан, көкэддин.
