MAT.1.1	ಇದ್ ಯೇಸು 
MAT.28.3	ಅಂವೊಂಡ ರೂಪ, ಮಿಂಚ್‍ರನೆಕೆಯು, ಅಂವೊಂಡ ಬಟ್ಟೆ ಮಂಜ್‍ರನೆಕೆಯು ಬೊಳ್‌ತಿತೆ ಇಂಜತ್. 
MAT.28.4	ಅಲ್ಲಿ ಇಂಜ ಸಿಪಾಯಿಯಂಗ, ಪೋಡಿಲ್ ನಡ್‍ಗಿತ್, ಅಯಿಂಗ ಸೊಯ ತಪ್ಪಿತ್ ಚತ್ತನೆಕೆ ಆಚಿ. 
MAT.28.5	ಅಕ್ಕ ದೇವದೂತ ಪೊಣ್ಣಾಳ್‍ರ ಪಕ್ಕ: ನಿಂಗ ಬೊತ್ತತಿ! ಶಿಲುಬೇಕ್ ಇಟ್ಟ ಯೇಸುನ ನಿಂಗ ತ್‍ೕಡಿಯಂಡುಳ್ಳಿರಾಂದ್ ನಾಕ್ ಗೊತ್ತುಂಡ್. 
MAT.28.6	ಅಂವೊ ಇಲ್ಲಿ ಇಲ್ಲೆ. ಅಂವೊ ಎಣ್ಣ್‌ನನೆಕೆ ಚಾವ್‍ಯಿಂಜ ಜೀವವಾಯಿತ್ ಎದ್ದತ್. ಅಂವೊಂಡ ತಡಿ ಇಂಜ ಜಾಗತ್‍ನ ಬಂದ್ ನೋಟೀಂದ್ ಎಣ್ಣ್‌ಚಿ. 
MAT.28.7	ಇಕ್ಕ ನಿಂಗ ಬೆರಿಯ ಪೋಯಿತ್ ಅಂವೊಂಡ ಶಿಷ್ಯಂಗಕ್ ಅಂವೊ ಚಾವ್‍ಯಿಂಜ ಎದ್ದತ್‍ೕಂದ್ ಎಣ್ಣಿ. ಇಕ್ಕ, ನಿಂಗಕ್ ಮಿಂಞ ಅಂವೊ ಗಲಿಲಾಯಕ್ ಪೋಯಂಡುಂಡ್. ಅಲ್ಲಿ ಅಂವೊನ ನಿಂಗ ಕಾಂಬಿರಾಂದ್ ಅಯಿಂಗಕ್ ಎಣ್ಣ್‌ಚಿ. 
MAT.28.8	ಪೊಣ್ಣಾಳುವ ಪೋಡಿಲು ಅದೇ ಸಮಯತ್‍ಲ್ ದುಂಬ ಕುಶೀಲು ಆ ಜಾಗತ್‍ನ ಬುಟ್ಟಿತ್, ಈ ಸುದ್ದಿನ ಶಿಷ್ಯಂಗಕ್ ಎಣ್ಣ್‌ವಕ್ ಓಡಿ ಪೋಚಿ. 
MAT.28.9	ಒಮ್ಮಕೆ ಯೇಸು ಅಯಿಂಗಕ್ ಕಾಂಬ್‌ಚಿಟ್ಟಂಡ್, ನಿಂಗಕ್ ಸಮಾದಾನ ಇಕ್ಕಡ್‍ೕಂದ್ ಎಣ್ಣ್‌ಚಿ. ಅಕ್ಕ ಅಯಿಂಗ ಅಂವೊಂಡ ಪಕ್ಕ ಬಂದಿತ್ ಅಂವೊಂಡ ಕಾಲ್‌ನ ಪುಡ್‌ಚಿತ್ ಅಂವೊನ ತುದಿಚತ್. 
MAT.28.10	ಅಕ್ಕ ಯೇಸು ಅಯಿಂಗಳ ನೋಟಿತ್, ನಿಂಗಕ್ ಪೋಡಿ ಬೋಂಡ! ನಾಡ ತಮ್ಮಣಂಗಡ ಪಕ್ಕ ಪೋಯಿತ್, ಅಯಿಂಗಳ ಗಲಿಲಾಯಕ್ ಪೋಪಕ್ ಎಣ್ಣಿ, ಅಲ್ಲಿ ಅಯಿಂಗ ನನ್ನ ಕಾಂಬಾಂದ್ ಎಣ್ಣ್‌ಚಿ.
MAT.28.11	ಪೊಣ್ಣಾಳ್‍ವ ಬಯ್ಯಕ್ ಪೋಯಂಡಿಪ್ಪಕ ಗೋರಿನ ಕಾತಂಡಿಂಜ ಚೆನ್ನ ಸಿಪಾಯಿಯ ಪಟ್ಟಣಕ್ ಪೋಯಿತ್ ಅಯಿಂಗ ಕಂಡಾನೆಲ್ಲಾ ಮುಕ್ಯ 
MAT.28.12	ಮುಕ್ಯ 
MAT.28.13	ಅಯಿಂಗ ಸಿಪಾಯಿಯಂಗಕ್: ಯೇಸುರ ಶಿಷ್ಯಂಗ ಬಯಿಟ್ ಬಂದಿತ್, ನಂಗ ವರಿಯಂಡ್ ಇಪ್ಪಕ ಯೇಸುರ ತಡೀನ ಕಟ್ಟಂಡ್ ಪೋಯಿರ್‌ತ್‍ೕಂದ್ ಎಣ್ಣೀಂದ್ ಎಣ್ಣ್‌ಚಿ. 
MAT.28.14	ಈ ಸುದ್ದಿ ಅದಿಪತಿಕ್ ಕ್‍ೕಟತೇಂಗಿ ನಂಗ ಅಂವೊನ ಸಮಾದಾನ ಮಾಡಿತ್ ನಿಂಗಕ್ ತೊಂದರೆ ಆಕತನೆಕೆ ನಂಗ ನೋಟಿಯವಾಂದ್ ಎಣ್ಣ್‌ಚಿ. 
MAT.28.15	ಸಿಪಾಯಿಯ ಪಣತ್‍ನ ಎಡ್‍ತಂಡ್ ಅಯಿಂಗ ಎಣ್ಣ್‌ನನೆಕೆ ಮಾಡ್‍ಚಿ. ಈ ವಿಷಯ ಯೆಹೂದ್ಯಂಗಡ ಮದ್ಯತ್‍ಲ್ ಪಬ್ಬ್‌ಚಿ. ಇಂದ್‍ಕತ್ತನೆ ಅಯಿಂಗ ಈ ವಿಷಯತ್‍ನ ಎಣ್ಣುವ.
MAT.28.16	ಪಿಂಞ ಅಂವೊಂಡ ಪನ್ನಂದ್ ಶಿಷ್ಯಂಗ ಗಲಿಲಾಯತ್‍ಲ್ ಯೇಸು ಅಯಿಂಗಕ್ ಎಣ್ಣಿತ್ಂಜ ಕುಂದ್‌ಕ್ ಪೋಚಿ. 
MAT.28.17	ಅಲ್ಲಿ ಯೇಸುನ ಕಾಂಬಕ ಅಂವೊಂಗ್ ಅಡ್ಡ ಬುದ್ದಿತ್ ಅಂವೊನ ಆರಾದನೆ ಮಾಡ್‍ಚಿ. ಆಚೇಂಗಿ, ಚೆನ್ನ ಜನ ಅನುಮಾನ ಪಟ್ಟತ್. 
MAT.28.18	ಯೇಸು ಅಯಿಂಗಡ ಪಕ್ಕ ಪೋಯಿತ್, ನಾಕ್ ಪರಲೋಕತ್‌ಲು ಬೂಲೋಕತ್‌ಲು ಎಲ್ಲಾ ಅದಿಕಾರ ನಾಕ್ ತಂದಿತುಂಡ್. 
MAT.28.19	ಆನಗುಂಡ್ ನಿಂಗ ಪೋಯಿತ್, ಎಲ್ಲಾ ದೇಶತ್‍ರ ಜನತ್‍ನ ನಾಡ ಶಿಷ್ಯಂಗಳಾಯಿತ್ ಮಾಡಿ. ಅಯಿಂಗಕ್ ಅಪ್ಪ, ಮೋಂವೊ ಪಿಂಞ 
MAT.28.20	ನಾನ್ ನಿಂಗಕ್ ಎಂತೆಲ್ಲಾ ಆಜ್ಞೆ ಮಾಡಿತುಂಡೋ ಅದ್‍ಂಗೆಲ್ಲಾ ಬಗ್ಗಿತ್ ನಡ್‍ಪಕ್ ಈ ಪುದಿಯ ಶಿಷ್ಯಂಗಕ್ ಎಣ್ಣಿ ಕೊಡಿ. ಇದಾ, ಈ ಲೋಕತ್‍ರ ಕಡೇಕತ್ತನೆ ನಾನ್ ನಿಂಗಡ ಕೂಡೆ ಎಕ್ಕಾಲು ಇಪ್ಪೀಂದ್ ಯೇಸು ಶಿಷ್ಯಂಗಕ್ ಎಣ್ಣ್‌ಚಿ.
MRK.1.1	ಇದ್ ದೇವಡ ಮೋಂವೊನಾನ ಯೇಸು 
MRK.1.2	ನೋಟಿ, ನಾನ್ ನಾಡ ದೂತನ ನಿಂಗಕ್ಂಜ ಮಿಂಞ ಅಯಿಪಿ;
MRK.1.2	ಅಂವೊ ನೀಕ್ ಮಿಂಞ ಪೋಯಿತ್, ನೀಡ ಬಟ್ಟೇನ ತಯಾರ್ ಮಾಡ್‌ವಾಂದ್;
MRK.1.3	ದಾರೋ ಮಣಬೂಮಿಲ್, ಒಡೆಯ ಬಂದಂಡ್ ಉಂಡ್
MRK.1.3	ಅದ್ಂಗಾಯಿತ್ ದೇವ ಬಪ್ಪಕ್ ಉಳ್ಳ ಬಟ್ಟೇನ ನೇರೆ ಮಾಡಿತ್ ಚಾಯಿಮಾಡ್‍ೕಂದ್,
MRK.1.3	ಯೆಶಾಯ ಎಣ್ಣುವ ಪ್ರವಾದಿ ಒಳ್‌ದ್‌ನನೆಕೆ;
MRK.1.4	ಯೋಹಾನ: ನಿಂಗಡ ಪಾಪಕ್ ಮನ್ನಿಪ್ ಕ್‍ಟ್ಟ್‌ವಕಾಯಿತ್ ದೇವಡ ಪಕ್ಕ ತಿರಿತ್ 
MRK.1.5	ಅಕ್ಕ ದುಂಬ ಜನ ಯೂದಾಯ ಎಣ್ಣುವ ನಾಡಿಂಜ, ಯೆರೂಸಲೇಮ್ಂಜ 
MRK.1.6	ಯೋಹಾನ ಒಂಟೆರ ರೋಮತ್‍ಲ್ ಮಾಡ್‍ನ ಬಟ್ಟೆ ಇಟ್ಟಂಡ್, ತಾಂಡ ಸೊಂಟಕ್ ಚರ್ಮತ್‌ರ ಪಟ್ಟಿ ಕೆಟ್ಟಿಯಂಡಿಂಜತ್. ಅಂವೊಂಡ ಆಹಾರ ಪಚ್ಚೆ ಪುಕ್ಕ ಪಿಂಞ ಕಾಡ್‍ಲ್ ಕ್‍ಟ್ಟುವ ತೇನ್ ಆಯಿತಿಂಜತ್. 
MRK.1.7	ಅಂವೊ: ನಾಡ ಬಯ್ಯ ನಾಕಿಂಜ ಬಲ್ಯಂವೊ ಒಬ್ಬ ಬಂದಂಡುಂಡ್. ನಾನ್ ಬಗ್ಗಿತ್ ಅಂವೊಂಡ ಕಾಲ್‍ರ ಎಕ್ಕಡತ್‌ನ ಉತ್ತ್‌ವಕ್ ಸಹ ನಾಕ್ ಯೋಗ್ಯತೆ ಇಲ್ಲೆ. 
MRK.1.8	ನಾನ್ ನಿಂಗಕ್ ನೀರ್‌ಲ್ 
MRK.1.9	ಆ ಸಮಯತ್‍ಲ್ ಗಲಿಲಾಯ ನಾಡ್‍ಲ್ ಉಳ್ಳ ನಜರೇತ್ ಊರಿಂಜ ಯೇಸು ಬಂದಿತ್ ಯೊರ್ದನ್ ಪೊಳೆಕ್ ಪೋಚಿ. ಅಲ್ಲಿ ಯೋಹಾನ ಅಂವೊಂಗ್ 
MRK.1.10	ಯೇಸು ಪೊಳೆರ ನೀರಿಂಜ ಪೊರಮೆ ಬಪ್ಪಕ, ಪರಲೋಕ ತೊರಂದಿತ್ ಒರ್ ಪಾರಿವಾಳ ರೂಪತ್‌ಲ್ 
MRK.1.11	ನೀನ್ ನಾಡ ಕೊದಿರ ಮೋಂವೊ, ನೀಡ ಮೇಲೆ ನಾಕ್ ದುಂಬ ಕುಶಿ ಉಂಡ್‍ೕಂದ್ ಪರಲೋಕತ್ಂಜ ಒರ್ ವಾಣಿ ಬಾತ್. 
MRK.1.12	ಅಚ್ಚಕ್ ಬೆರಿಯ 
MRK.1.13	ಅಲ್ಲಿ ಅಂವೊ ನಾಪದ್ ದಿವಸ ಕಾಡ್ ಪ್ರಾಣಿಯಡ ಕೂಡೆ ಇಂಜತ್. ಅಲ್ಲಿ ಸೈತಾನ ಅಂವೊನ ಸೋದನೆ ಮಾಡ್‍ಚಿ. ದೇವ ದೂತಂಗ ಅಂವೊಂಗ್ ಸೇವೆ ಮಾಡಿಯಂಡ್ ಇಂಜತ್.
MRK.1.14	ಯೋಹಾನನ ಜೈಲ್‌ಕ್ ಇಟ್ಟ ಪಿಂಞ ಯೇಸು ಗಲಿಲಾಯಕ್ ಪೋಯಿತ್, ಅಲ್ಲಿ ಜನಕ್ ದೇವಡ ನಲ್ಲ ಸುದ್ದಿನ ಪ್ರಚಾರ ಮಾಡ್‍ಚಿ. 
MRK.1.15	ಕಾಲ ಪೂರ್ತಿ ಆಚಿ, ದೇವಡ ರಾಜ್ಯ ಬೆರಿಯ ಬಪ್ಪ. ನಿಂಗಡ ಪಾಪಕಾಯಿತ್ ಪಶ್ಚಾತಾಪ ಪಟ್ಟಿತ್, ದೇವಡ ನಲ್ಲ ಸುದ್ದಿನ ನಂಬೀಂದ್ ಎಣ್ಣ್‌ಚಿ.
MRK.1.16	ಯೇಸು ಗಲಿಲಾಯತ್‍ರ ಕೆರೆರ ಬರಿಲ್ ನಡ್ಂದ್ ಪೋಯಂಡಿಪ್ಪಕ, ಸೀಮೋನ ಪಿಂಞ ಅಂದ್ರೆಯ ಎಣ್ಣ್‌ವ ಅಣ್ಣತಮ್ಮಣಂಗ ದಂಡಾಳು ಬಲೆನ ಬೀಜಿತ್ ಮೀನ್ ಪುಡ್‍ಚಂಡ್ ಇಂಜದ್‍ನ ಯೇಸು ಕಂಡತ್. ಅಯಿಂಗ ಬೆಸ್ತಂಗಳಾಯಿತ್‌ಂಜತ್.
MRK.1.17	ಯೇಸು ಅಯಿಂಗಳ ನೋಟಿತ್: ನಾಡ ಕೂಡೆ ಬಾರಿ, ನಾನ್ ನಿಂಗಕ್ ಮನುಷ್ಯಂಗಳ ನಾಡ ಶಿಷ್ಯಂಗಳಾಯಿತ್ ಮಾಡ್‌ವಕ್ ಎಣ್ಣಿ ತಪ್ಪೀಂದ್ ಎಣ್ಣ್‌ಚಿ. 
MRK.1.18	ಅಯಿಂಗ ಒಮ್ಮಕೆ ಅಯಿಂಗಡ ಬಲೆನ ಬುಟ್ಟಿತ್ ಯೇಸುರ ಕೂಡೆ ಪೋಚಿ. 
MRK.1.19	ಯೇಸು ಇಂಞು ಚೆನ್ನ ಮಿಂಞಕ್ ಪೋಯಂಡಿಪ್ಪಕ, ಅಲ್ಲಿ ಜೆಬೆದಾಯಂಡ ಮಕ್ಕಳಾನ ಯಾಕೋಬ ಪಿಂಞ ಯೋಹಾನ ದೋಣಿಲ್ ಅಳ್‌ತಂಡ್ ಮೀನ್ ಪುಡಿಪಕ್ ಬಲೆನ ಸರಿ ಮಾಡಿಯಂಡ್ ಇಂಜಾನ ಕಂಡತ್. 
MRK.1.20	ಅಯಿಂಗಳ ಸಹ ಯೇಸು ಕಾಕ್‍ಚಿ; ಅಕ್ಕಣೆಕೆ ಅಯಿಂಗ ತಾಂಡ ಅಪ್ಪನಾನ ಜೆಬೆದಾಯ ಪಿಂಞ ಪಣಿಕಾರಳ ಬುಟ್ಟಿತ್ ಯೇಸುರ ಕೂಡೆ ಪೋಚಿ.
MRK.1.21	ಯೇಸು ಪಿಂಞ ಅಂವೊಂಡ ಶಿಷ್ಯಂಗ ಕಪೆರ್ನೌಮ್ ಎಣ್ಣ್‌ವ ಪಟ್ಟಣಕ್ ಪೋಚಿ. 
MRK.1.22	ಜನ ಅಂವೊ ಮಾಡ್‌ವ ಬೋದನೆನ ಕ್‍ೕಟಿತ್, ಆಶ್ಚರ್ಯ ಪಟ್ಟತ್. ಇಂವೊ 
MRK.1.23	ಅಕ್ಕಣೆಕ್ ಒರ್ ಕೂಳಿ ಪುಡ್‌ಚ ಮನುಷ್ಯ 
MRK.1.24	ಅಂವೊ ಯೇಸುನ ಕಾಂಬಕ: ಅಯ್ಯೋ! ನಜರೇತಿನ ಯೇಸುವೇ, ನೀಕ್ ನಂಗಡಗುಂಡ್ ಎಂತ ಆಂಡು? ನಂಗಳ ಪಾಳ್ ಮಾಡ್‌ವಕಾಯಿತ್ ಬಂದಿತುಳ್ಳಿಯ? ನೀನ್ ದಾರ್‍ೕಂದ್ ನಾಕ್ ಗೊತ್ತುಂಡ್. ನೀನ್ ದೇವಡ ಪವಿತ್ರವಾನಂವೋಂದ್ ಕೂತ್ ಕೊಡ್‍ತತ್.
MRK.1.25	ಅದ್ಂಗ್ ಯೇಸು: ಮುಂಡತೆ ಇರ್, ಈ ಮನುಷ್ಯನ ಬುಟ್ಟಿತ್ ಪೋಂದ್ ಹುಕುಮ್ ಕೊಡ್‍ತತ್. 
MRK.1.26	ಅಕ್ಕ ಆ ಕೂಳಿ ಆ ಮನುಷ್ಯಂಡ ತಡೀನ ಜೋರಾಯಿತ್ ಕುಲ್‍ಕಿತ್, ಜೋರಾಯಿತ್ ಕೂತ್ ಕೊಡ್‌ತಿತ್ ಅಂವೊನ ಬುಟ್ಟಿತ್ ಪೋಚಿ.
MRK.1.27	ಅಲ್ಲಿ ಇಂಜ ಎಲ್ಲಾ ಜನಳು ಆಶ್ಚರ್ಯಪಟ್ಟಿತ್: ಇದ್ ಎಂತ? ಈ ಪುದಿಯ ಬೋದನೆ ಎಂತದ್? ಅಂವೊ ಅದಿಕಾರತ್‍ಲ್ ಕೂಳಿಯಳ ಪೊರಮೆ ಪೋಪಕ್ ಆಜ್ಞೆ ಮಾಡ್‌ವ, ಅದೂ ಅಂವೊಂಡ ತಕ್ಕ್‌ನ ಕ್‍ೕಪಲ್ಲಾಂದ್ ಅಯಿಂಗಡ ಒಳ್‌ಲೇ ತಕ್ಕ್ ಪರ್‌ದಂಡ್ ಇಂಜತ್. 
MRK.1.28	ಆನಗುಂಡ್, ಯೇಸುರ ಕ್‍ೕಳಿ ಗಲಿಲಾಯ ನಾಡೆಲ್ಲಾ ಹರಡ್‍ಚಿ. 
MRK.1.29	ಪಿಂಞ ಯೇಸು 
MRK.1.30	ಅಲ್ಲಿ ಸೀಮೋನಂಡ ಮಾಂವಿಕ್ ಪನಿ ಬಂದಿತ್ ಬುದ್ದಂಡ್ ಇಂಜತ್. ಬಂದನೆಕೆ ಅವಡ ವಿಷಯತ್‍ನ ಅಯಿಂಗ ಯೇಸುಕ್ ಎಣ್ಣ್‌ಚಿ. 
MRK.1.31	ಯೇಸು ಅವಡ ಪಕ್ಕ ಪೋಯಿತ್ ಅವಡ ಕೈ ಪುಡ್‌ಚಿತ್, ಅವಳ ಎಪ್ಪ್‌ಚಿ. ಅಕ್ಕಣೆ ಅವಡ ಪನಿ ವಾಸಿ ಆಯಿತ್, ಪನಿ ಬುಟ್ಟ್ ಪೋಚಿ. ಅವ ಎದ್ದಿತ್ ಅಯಿಂಗಕ್ ಸೇವೆ ಮಾಡ್‍ಚಿ. 
MRK.1.32	ಸೂರ್ಯ ಮುಳ್‌ಗ್‌ನ ಪಿಂಞ ಬೈಟಾಪಕ, ಜನ ರೋಗ ಉಳ್ಳಯಿಂಗಳ, ಕೂಳಿ ಪುಡ್‌ಚಯಿಂಗಳ ಯೇಸುರ ಪಕ್ಕ ಕಾಕಿಯಂಡ್ ಬಾತ್. 
MRK.1.33	ಆ ಊರ್‌ಲ್ ಉಳ್ಳ ಎಲ್ಲಾ ಜನಳು ಆ ಮನೆರ ಕಯ್ಯಾಲೆರ ಮಿಂಞ ಕೂಡಿತ್ಂಜತ್. 
MRK.1.34	ಯೇಸು ಎಲ್ಲಾ ತರತ್‍ರ ಕಾಯಿಲೆ ಉಳ್ಳಯಿಂಗಳ ಪಿಂಞ ಕೂಳಿ ಪುಡ್‌ಚ ಮನುಷ್ಯಂಗಳ ವಾಸಿ ಮಾಡ್‍ಚಿ. ಪಿಂಞ ತಾನ್ ದಾರ್‍ೕಂದ್ ಕೂಳಿಯಕ್ ಗೊತ್ತಾನಗುಂಡ್ ಅಂವೊ ಅಯಿಂಗಳ ತಕ್ಕ್‌ಪರಿವಕ್ ಬುಟ್ಟಿತ್‌ಲ್ಲೆ.
MRK.1.35	ಪಿತ್ಯಾಂದ್ ಬೊಳಿ ಬುಡ್‌ವಕ್ ಮಿಂಞಲೇ ಯೇಸು ಎದ್ದಿತ್, ದಾರೂ ಇಲ್ಲತ ಮಣಬೂಮಿಕ್ ಪೋಯಿತ್ ದೇವನ ಪ್ರಾರ್ಥನೆ ಮಾಡಿಯಂಡಿಂಜತ್. 
MRK.1.36	ಸೀಮೋನ ಪಿಂಞ ಅಂವೊಂಡ ಕೂಟಾಳಿಯಂಗ ಯೇಸುನ ತ್‍ೕಡಿಯಂಡ್ ಇಂಜತ್. 
MRK.1.37	ಅಯಿಂಗ ಯೇಸುನ ಕಂಡ ಪಿಂಞ ನಿನ್ನ ಜನ ತ್‍ೕಡಿಯಂಡ್ ಉಂಡ್‍ೕಂದ್ ಎಣ್ಣ್‌ಚಿ.
MRK.1.38	ಆಚೇಂಗಿ ಯೇಸು: ನಂಗ ಇಲ್ಲಿ ಉಳ್ಳ ಬೋರೆ ಬೋರೆ ಪಟ್ಟಣಕ್ ಪೋಕಂಡು, ನಾನ್ ಅಲ್ಲಿಯು ದೇವಡ ವಿಷಯತ್‍ನ ಪ್ರಚಾರ ಮಾಡಂಡು, ಅದ್ಂಗಾಯಿತೇ ನಾನ್ ಬಂದಿಯೇಂದ್ ಎಣ್ಣ್‌ಚಿ. 
MRK.1.39	ಅನ್ನನೆ ಅಂವೊ ಗಲಿಲಾಯ ನಾಡ್‍ಕೆಲ್ಲಾ ಪೋಯಿತ್, ಅಯಿಂಗಡ 
MRK.1.40	ಒರ್ ಕುಷ್ಟರೋಗಿ ಯೇಸುರ ಪಕ್ಕ ಬಂದಿತ್ ಮೊಣಕಾಲ್ ಊರಿತ್: ನೀಕ್ ಕುಶಿ ಉಂಡೇಂಗಿ ನನ್ನ ಶುದ್ದ ಮಾಡ್‌ವಕ್ ನೀಕ್ ಕಯ್ಯೂಂದ್ ಬೋಡಿಯಂಡತ್.
MRK.1.41	ಯೇಸುಕ್ ದುಂಬ ಕನಿಕರ ಆಯಿತ್, ಯೇಸು ಅಂವೊಂಡ ಕೈಯಿನ ನೀಟುವಂಜಿ ಅಂವೊನ ಮುಟ್ಟಿತ್: ನಾಕ್ ಕುಶಿ ಉಂಡ್, ಶುದ್ದ ಆಡ್‍ೕಂದ್ ಎಣ್ಣ್‌ಚಿ. 
MRK.1.42	ಅಚ್ಚಕ್ ಬೆರಿಯ ಅಂವೊಂಡ ಕಾಯಿಲೆ ವಾಸಿ ಆಯಿತ್, ಅಂವೊ ಶುದ್ದ ಆಚಿ.
MRK.1.43	ಯೇಸು: ಈ ವಿಷಯತ್‍ನ ದಾರ್‌ಕು ಎಣ್ಣತೇಂದ್ ಎಚ್ಚರ ಮಾಡ್‍ಚಿ. 
MRK.1.44	ಆಚೇಂಗಿಯು, ನೀನ್ ನೇರೆ 
MRK.1.45	ಆಚೇಂಗಿ ಯೇಸು ಎಣ್ಣ್‌ನ ಪ್ರಕಾರ ಅಂವೊಂಡ ತಕ್ಕ್ ಕ್‍ೕಕತೆ ಈ ನಲ್ಲ ವಿಷಯತ್‍ನ ಎಲ್ಲಾ ಜಾಗತ್‍ಲು ಎಣ್ಣಿಯಂಡ್ ಪೋಚಿ. ಅದ್ಂಗಾಯಿತ್ ಯೇಸುಕ್ ಪೊರಮೆ ಪೋಪಕ್ ಕಯ್ಯತಾಚಿ. ಆನಗುಂಡ್ ಯೇಸು ದಾರೂ ಇಲ್ಲತ ಜಾಗತ್‍ಲ್ ಇಂಜತ್. ಆಚೇಂಗಿಯು ಯೇಸುರ ಪಕ್ಕ ದುಂಬ ಜನ ಬಾತ್.
MRK.2.1	ಚೆನ್ನ ದಿವಸ ಕಯಿಂಜ ಪಿಂಞ ಯೇಸು ಕಪೆರ್ನೌಮ್‍ಕ್ ಪೋಚಿ. ಅಂವೊ ಮನೆಲ್ ಉಂಡ್‍ೕಂದ್ ಎಲ್ಲಾರ್‌ಕು ಗೊತ್ತಾಚಿ. 
MRK.2.2	ಅಂವೊಂಡ ಮನೆಕ್ ದುಂಬ ಜನ ಬಂದಿತ್ ಕೂಡ್‍ಚಿ. ಮನೆರ ಒಳ್‍ಲ್, ಬಾಯಿಕಂಡಿಲ್ ಜನ ದುಂಬ್‌ನಗುಂಡ್ ಪೊರಮೆ ಕಂಡಿಲ್ ಸಹ ಜಾಗ ಇಲ್ಲತಾಚಿ. ಯೇಸು ಅಯಿಂಗಕ್ ದೇವಡ ವಿಷಯತ್‍ನ ಬೋದನೆ ಮಾಡಿಯಂಡ್ ಇಂಜತ್. 
MRK.2.3	ಅಕ್ಕಣೆಕ್ ನಾಲ್ ಜನ ಪಾರ್ಶ್ವವಾಯುಲ್ ನರಳಿಯಂಡಿಂಜ ಒರ್ ಮನುಷ್ಯನ ಯೇಸುರ ಪಕ್ಕ ಕೊಂಡ್ ಬಾತ್. 
MRK.2.4	ದುಂಬ ಜನ ಇಂಜಗುಂಡ್ ಆ ಮನುಷ್ಯನ ಯೇಸುರ ಪಕ್ಕ ಎಡ್‌ತ ಪೋಪಕ್ ಕಯ್ಯತಾಚಿ. ಅಕ್ಕ ಅಯಿಂಗ ಮೋಂದಾಯತ್‌ನ ತೂತ ಮಾಡಿತ್, ಆ ಮನುಷ್ಯ ಬುದ್ದಡಿಂಜ ಕಡ್‌ಕೆನ ಅಡಿಕ್ ಇಳ್‌ಪ್‍ಚಿ.
MRK.2.5	ಯೇಸು ಅಯಿಂಗಡ ನಂಬಿಕೇನ ಕಂಡಿತ್, ಆ ಮನುಷ್ಯಂಗ್: ನಾಡ ಮೋನೇ, ನೀಡ ಪಾಪಕ್ ಮನ್ನಿಪ್ಪ್ ಕ್‍ಟ್ಟ್‌ಚೀಂದ್ ಎಣ್ಣ್‌ಚಿ.
MRK.2.6	ಅಲ್ಲಿ ಇಂಜ 
MRK.2.7	ಇದ್ ದೇವ ದೂಷಣೆ! ದೇವಕ್ ಮಾತ್ರ ಮನುಷ್ಯಂಡ ಪಾಪತ್‍ನ ಮನ್ನಿಚಿಡ್‌ವಕ್ ಕಯ್ಯು.
MRK.2.8	ಅಕ್ಕಣೆ ಯೇಸುಕ್ ಈ ಮನುಷ್ಯಂಗ ಎಂತ ಗೇನ ಮಾಡಿಯಂಡುಂಡ್‍ೕಂದ್ ಗೊತ್ತಾನಗುಂಡ್, ಅಯಿಂಗಳ ನೋಟಿತ್: ಎನ್ನಂಗ್ ನಿಂಗ ಇಂತದೆಲ್ಲ ಗೇನ ಮಾಡ್‌ವಿರಾಂದ್ ಯೇಸು ಕ್‍ೕಟತ್. 
MRK.2.9	ಒರ್ ಪಾರ್ಶ್ವವಾಯುಲ್ ನರಳಿಯಂಡ್ ಉಳ್ಳ ಮನುಷ್ಯಂಗ್, ನೀಡ ಪಾಪಕ್ ಮನ್ನಿಪ್ಪ್ ಕ್‍ಟ್ಟ್‌ಚೀಂದ್ ಎಣ್ಣ್‌ವಕ್ ಸುಲಬವಾ, ಇಲ್ಲತಪೋನಕ ನೀಡ ಕಾಯಿಲೆ ವಾಸಿ ಆಚಿ ಏಳ್, ನೀಡ ಕಡ್‌ಕೆನ ಸುತ್ತುವಂಜಿ ನಡೇಂದ್ ಎಣ್ಣ್‌ವಕ್ ಸುಲಬವಾ? 
MRK.2.10	ಮನುಷ್ಯಂಗಡ ಪಾಪತ್‍ನ ಮನ್ನಿಚಿಡ್‌ವಕ್ ಮನುಷ್ಯಕುಮಾರಂಗ್ ಈ ಬೂಮಿಲ್ ಅದಿಕಾರ ಉಂಡ್‍ೕಂದ್ ನಾನ್ ನಿಂಗಕ್ ಕಾಟಿ ತಪ್ಪೀಂದ್ ಎಣ್ಣಿತ್, ಯೇಸು ಕಾಯಿಲೆಲ್ ಇಂಜ ಮನುಷ್ಯನ ನೋಟಿತ್: 
MRK.2.11	ಏಳ್, ನೀಡ ಕಡ್‌ಕೆನ ಎಡ್‍ತಂಡ್, ನೀಡ ಮನೆಕ್ ಪೋಂದ್ ಎಣ್ಣ್‌ಚಿ. 
