JHN.1.1	Ayns y toshiaght va’n Goo, as va’n Goo marish Jee, as va’n Goo Jee. 
JHN.5.21	Son myr ta’n Ayr troggal seose, as cur bioys da ny merriu: eer myr shen ta’n Mac bioghey yn vooinjer saillish. 
JHN.5.22	Son cha vel yn Ayr briwnys dooinney erbee; agh t’eh er livrey dy chooilley vriwnys gys y Mac: 
JHN.5.23	Dy voddagh dy chooilley ghooinney ooashley y choyrt da’n Mac, myr t’ad cur ooashley da’n Ayr. Eshyn nagh vel cur ooashley da’n Mac, cha vel eh coyrt ooashley da’n Ayr ren y choyrt eh. 
JHN.5.24	Dy firrinagh firrinagh ta mee gra riu, Eshyn ta clashtyn my ghoo’s, as credjal aynsyn t’er my choyrt, ta’n vea ta dy bragh farraghtyn echey, as cha jig eh gys coayl-anmey: agh t’eh er gholl veih baase gys bea. 
JHN.5.25	Dy firrinagh firrinagh ta mee gra riu, Ta’n oor cheet, as nish ayn, tra nee ny merriu clashtyn coraa Mac Yee: as bee adsyn chlinnys er nyn mioghey. 
JHN.5.26	Son ’naght myr ta ec yn Ayr bioys ayn hene; myr shen t’eh er choyrt da’n Mac bioys y ve echey ayn hene; 
JHN.5.27	As t’eh er choyrt da pooar dy yannoo briwnys myrgeddin, er-y-fa dy nee Mac y dooinney eh. 
JHN.5.28	Ny gow-jee yindys jeh shoh: son ta’n oor cheet, tra chlinnys ooilley ny t’ayns ny oaiaghyn e choraa, 
JHN.5.29	As hig ad magh; adsyn t’er n’yannoo dy mie, gys irree-seose-reesht y vea; as adsyn t’er n’yannoo dy olk, gys irree-seose-reesht y choayl-anmey. 
JHN.5.30	Cha voddym jee’m pene nhee erbee y yannoo: myr ta mee clashtyn, ta mee briwnys: as ta my vriwnys cairagh, er-yn-oyr nagh vel mee shirrey my aigney hene, agh aigney yn Ayr t’er my choyrt. 
JHN.5.31	My ta mee gymmyrkey feanish jee’m pene, cha vel my eanish firrinagh.
JHN.5.32	Ta fer elley ta gymmyrkey feanish jee’m, as ta fys aym dy vel yn eanish t’eh dy ymmyrkey jee’m firrinagh. 
JHN.5.33	Hug shiuish fys gys Ean, as dymmyrk eh feanish gys yn irriney. 
JHN.5.34	Agh cha vel mish goaill feanish veih dooinney: agh shoh ta mee dy ghra, dy vod shiu v’er nyn sauail. 
JHN.5.35	V’eshyn ny hoilshey gial as sollys: as va shiu booiagh son earish boggey ’ghoaill ayns y soilshey echey.
JHN.5.36	Agh ta feanish stroshey aym’s na Ean: son ny obbraghyn hug my Ayr dou dy chooilleeney, ny obbraghyn cheddin ta mee dy yannoo, t’ad gymmyrkey feanish jee’m, dy vel yn Ayr er my choyrt. 
JHN.5.37	As ta’n Ayr hene t’er my choyrt, er n’ymmyrkey feanish jee’m. Cha vel shiuish er chlashtyn e choraa ec traa erbee, ny er vakin e chaslys. 
JHN.5.38	As cha vel eu yn goo echeysyn tannaghtyn ayndiu: son eshyn t’eh er choyrt, aynsyn cha vel shiu credjal.
JHN.5.39	Ronsee-jee ny scriptyryn, son ayndoosyn ta shiu smooinaghtyn dy vel y vea veayn eu, as she ad shen ta gymmyrkey feanish jeem’s. 
JHN.5.40	As cha vel shiu booiagh cheet hym’s, dy vod yn vea y ve eu. 
JHN.5.41	Cha vel mish soiaghey jeh ooashley deiney. 
JHN.5.42	Agh ta toiggal aym jiuish, nagh vel graih Yee ayndiu. 
JHN.5.43	Ta mish er jeet ayns ennym my Ayrey, as cha vel shiu goaill rhym: my hig fer elley ayns e ennym hene, rishyn nee shiu goaill. 
JHN.5.44	Kys oddys shiuish credjal ta geddyn ooashley yn derrey yeh veih yn jeh elley, as nagh vel shirrey yn ooashley ta veih Jee ny-lomarcan? 
JHN.5.45	Ny smooinee-jee dy jean-yms plaiynt erriu gys yn Ayr: ta ayn ta plaiynt nyn ’oï eu, eer Moses, ayn ta shiu treishteil. 
JHN.5.46	Son dy beagh shiu er chredjal Moses, veagh shiu er chredjal aynym’s; son scrieu eh jeem’s. 
JHN.5.47	Agh mannagh gred shiu ny screeuyn echeysyn, kys nee shiu credjal ny goan aym’s?
JHN.6.1	Ny lurg shoh hie Yeesey harrish faarkey Ghalilee, ny Tiberias. 
JHN.6.2	As deiyr earroo mooar dy leih er, er-y-fa dy vaik ad ny mirrilyn ren eh orroosyn va doghanit. 
JHN.6.3	As hie Yeesey seose er slieau, as hoie eh ayns shen marish e ostyllyn. 
JHN.6.4	As va’n Chaisht, feailley ny Hewnyn er-gerrey.
JHN.6.5	Tra va Yeesey eisht er hroggal seose e hooillyn, as fakin earroo mooar dy leih cheet huggey, dooyrt eh rish Philip, Cre-voish oddys mayd arran y chionnaghey, dy yannoo magh ad shoh? 
JHN.6.6	(As shoh dooyrt eh dy phrowal eh: son v’eh hene kiarit cre dy yannoo.) 
JHN.6.7	Dreggyr Philip eh, Cha bee feeagh daa cheead ping dy arran dy liooar daue, dy vod dagh unnane oc kuse y ghoaill. 
JHN.6.8	Dooyrt fer jeh ny ostyllyn echey, Andreays, braar Simon Peddyr, rish, 
JHN.6.9	Ta scollag ayns shoh ta queig bwilleenyn oarn echey, as daa eeast veggey; agh cre t’ad shen mastey whilleen? 
JHN.6.10	As dooyrt Yeesey, Cur-jee er ny deiney soie sheese. Nish va lane faiyr ayns yn ynnyd. Myr shen hoie ny deiney sheese ayns earroo mysh queig thousaneyn. 
JHN.6.11	As ghow Yeesey ny bwilleenyn, as tra v’eh er chur booise, rheynn eh ad er e ostyllyn, as rheynn adsyn ad orroosyn myr v’ad soie; as myrgeddin jeh ny eeastyn wheesh as bailloo. 
JHN.6.12	Tra v’ad jeant magh, dooyrt eh rish e ostyllyn, Jean-jee yn vrooilliagh ta er-mayrn y haglym cooidjagh nagh bee nhee erbee caillit. 
JHN.6.13	Er shen ren ad eh y haglym, as lhieen ad daa vaskad jeig lesh fooilliagh ny queig bwilleenyn oarn, va er-mayrn erreish daue v’er n’ee. 
JHN.6.14	Eisht dooyrt ny deiney shen, tra v’ad er vakin y mirril va Yeesey er n’yannoo. She shoh ayns firrinys yn phadeyr shen va ry-hoi cheet gys y theihll.
JHN.6.15	Tra dennee Yeesey er-y-fa shen dy darragh ad, as dy goghe ad eh er-niart, dy yannoo eh ny ree, hie eh seose reesht er slieau eh-hene ny-lomarcan. 
JHN.6.16	As tra va’n fastyr er, hie e ostyllyn sheese gys y cheayn. 
JHN.6.17	As ghow ad lhuingys, as haink ad harrish y cheayn gys Capernaum: as ve nish dorraghey, as cha row Yeesey er jeet huc. 
JHN.6.18	As dhatt y keayn lesh niart stermagh ny geayee. 
JHN.6.19	Myr shen tra v’ad er n’ymmyrt mysh kiare veeilley, honnick ad Yeesey shooyl er y cheayn, as tayrn er-gerrey da’n lhong: as ghow ad aggle. 
JHN.6.20	Agh dooyrt eshyn roo, She mish t’ayn, ny bee aggle erriu. 
JHN.6.21	Eisht ghow ad eh dy arryltagh stiagh ayns y lhong: as chelleeragh va’n lhong ec y thalloo raad v’ad goll.
JHN.6.22	Yn laa er-giyn, tra honnick yn pobble va nyn shassoo cheu elley jeh’n cheayn nagh row baatey erbee elley ayns shen, cheu-mooie jeh’n un vaatey shen va ny ostyllyn er n’ghoaill, as nagh jagh Yeesey mâroosyn ayns y vaatey, agh dy row ny ostyllyn er n’gholl ersooyl nyn-lomarcan: 
JHN.6.23	(Ny-yeih va baatyn elley er jeet veih Tiberias, er-gerrey da’n boayl ren ad arran y ee ayn, erreish da’n Chiarn v’er chur booise.) 
JHN.6.24	Tra honnick y pobble er-y-fa shen nagh row Yeesey ayns shen, ny e ostyllyn, ghow adsyn myrgeddin lhuingys, as haink ad gys Capernaum, briaght son Yeesey. 
JHN.6.25	As tra hooar ad eh er y cheu elley jeh’n cheayn, dooyrt ad rish, Rabbi, cuin haink oo ayns shoh? 
JHN.6.26	Dreggyr Yeesey ad, as dooyrt eh, Dy firrinagh firrinagh ta mee gra riu, Ta shiu dy my hirrey’s, cha nee er-yn-oyr dy vaik shiu ny mirrilyn, agh son dy d’ee shiu jeh ny bwilleenyn, as dy row shiu jeant magh. 
JHN.6.27	Ny bee-jee imneagh son y beaghey ta cherraghtyn, agh son y beaghey shen ta tannaghtyn gys y vea veayn, nee yn Mac dooinney y choyrt diu: son eshyn ta Jee yn Ayr er chowraghey. 
JHN.6.28	Eisht dooyrt ad rish, Cre nee mainyn, dy vod mayd obbraghyn Yee y yannoo? 
JHN.6.29	Dreggyr Yeesey as dooyrt eh roo, Shoh obbyr Yee, shiu dy chredjal aynsyn t’eh er choyrt. 
JHN.6.30	Dooyrt ad er-y-fa shen rish, Cre’n cowrey t’ou dy yeeaghyn eisht, dy vod mayd fakin as credjal aynyd? cre ta dty obbyr? 
JHN.6.31	D’ee ny ayraghyn ain manna ayns yn aasagh; myr te scruit, Hug eh daue arran veih niau dy ee. 
JHN.6.32	Eisht dooyrt Yeesey roo, Dy firrinagh firrinagh ta mee gra riu, Cha dug Moses diu yn arran shen veih niau, agh my Ayr ta coyrt diu yn arran firrinagh veih niau. 
JHN.6.33	Son arran Yee eshyn ta cheet neose veih niau, as ta cur e vioys son y theihll. 
JHN.6.34	Eisht dooyrt ad rish, Cur dooinyn dy bragh yn arran shoh. 
JHN.6.35	As dooyrt Yeesey roo, Mish arran y vea: eshyn ta cheet hym’s, cha bee eh dy bragh accryssagh; as eshyn ta credjal aynym, cha bee eh dy bragh paagh. 
JHN.6.36	Agh ta mish er ghra riu, dy vel shiu myrgeddin er my akin’s, as nagh vel shiu credjal. 
JHN.6.37	Hig adsyn ooilley hym’s ta’n Ayr dy chur dou; as eshyn ta cheet hym, cha jeanym er aght erbee y yiooldey voym. 
JHN.6.38	Son haink mish neose veih niau, cha nee dy yannoo my aigney hene, agh yn aigney echeysyn ren m’y choyrt. 
JHN.6.39	As shoh aigney yn Ayr ta er my choyrt, jeh ooilley ny hug eh dou nagh gaillin veg, agh dy droggin eh seose reesht ec y laa jerrinagh. 
JHN.6.40	As shoh yn aigney echeysyn ta er my choyrt, dy chooilley unnane ta fakin y Mac as credjal ayn, yn vea dy bragh farraghtyn dy ve echey: as trog-yms seose eh ec y laa jerrinagh. 
JHN.6.41	Eisht va ny Hewnyn jymmoosagh rish, er-y-fa dy dooyrt eh, Mish arran y vea haink neose veih niau. 
JHN.6.42	As dooyrt ad, Nagh nee shoh Yeesey Mac Yoseph, yn ayr as y voir echey shione dooin? kys eisht dy vel eh gra, Haink mee neose veih niau? 
JHN.6.43	Dreggyr Yeesey er-y-fa shen as dooyrt eh roo, Ny lhig da jymmoose ve ny mast’ eu. 
JHN.6.44	Cha vod dooinney erbee cheet hym’s, mannagh jean yn Ayr t’er my choyrt y hayrn eh: as trog-yms seose eh ec y laa jerrinagh. 
JHN.6.45	Te scruit ayns ny phadeyryn, As bee ad ooilley ynsit liorish Jee. Dy chooilley ghooinney er-y-fa shen t’er chlashtyn, as er n’ynsaghey veih yn Ayr, t’eh cheet hym’s. 
JHN.6.46	Cha nee dy vel dooinney erbee er vakin yn Ayr, cheu-mooie jehsyn ta veih Jee, t’eh shen er vakin yn Ayr. 
JHN.6.47	Dy firrinagh firrinagh ta mee gra riu, Eshyn ta credjal ayn-yms ta’n vea ta dy bragh farraghtyn echey. 
JHN.6.48	Mish arran y vea. 
JHN.6.49	D’ee ny ayraghyn euish manna ayns yn aasagh, as t’ad marroo. 
JHN.6.50	Shoh yn arran ta cheet neose veih niau, dy vod dooinney gee jeh, as gyn baase y gheddyn. 
JHN.6.51	Mish yn arran bio, haink neose veih niau: my ee-ys dooinney erbee jeh’n arran shoh, bee eh bio son dy bragh: as yn arran neem’s y choyrt, she my eill eh, ver-yms son bioys y theihll. 
JHN.6.52	Va ec ny Hewnyn er-y-fa shen argane nyn mast’ oc hene, gra, Kys oddys y dooinney shoh cur dooin e eill dy ee? 
JHN.6.53	Eisht dooyrt Yeesey roo, Dy firrinagh-focklagh ta mee gra riu, Mannagh jean shiu feill yn Mac dooinney y ee, as e uill y iu, cha vel y vea eu ayndiu. 
JHN.6.54	Eshyn ta gee my eill, as giu my uill, ta’n vea veayn echey, as trog-yms seose eh ec y laa jerrinagh. 
JHN.6.55	Son dy firrinagh she bee my eill, as dy firrinagh she jough my uill. 
JHN.6.56	Eshyn ta gee my eill as giu my uill, t’eh baghey aynym’s, as mish aynsyn. 
JHN.6.57	Myr ta’n Ayr bio er my choyrt’s, as ta mee bio liorish yn Ayr: myr shen neesht vees eshyn ta dy my ee’s, bio liorym. 
JHN.6.58	Shoh yn arran haink neose veih niau; cha nee myr ren ny ayraghyn eu manna y ee, as t’ad marroo: bee eshyn ta gee jeh’n arran shoh, bio son dy bragh. 
JHN.6.59	Ny goan shoh loayr eh ayns y synagogue, myr v’eh gynsaghey ayns Capernaum. 
JHN.6.60	Dooyrt ymmodee er-y-fa shen jeh e eiyrtee, tra cheayll ad shoh, Shoh raa creoi, quoi oddys y chlashtyn eh? 
JHN.6.61	Tra va fys ec Yeesey ayn hene dy row e eiyrtee jymmoosagh son shoh, dooyrt eh roo, Vel shoh cheet ayns raad y chredjue eu? 
JHN.6.62	Cre my hee shiu Mac y dooinney goll seose raad v’eh roïe? 
JHN.6.63	She yn spyrryd ta bioghey, cha vel yn eill jannoo veg y vie: ny goan ta mish dy loayrt riu, t’ad spyrryd as t’ad bea. 
JHN.6.64	Agh ta paart jiuish nagh vel credjal. Son va fys ec Yeesey er-dyn toshiaght, quoi v’ad nagh row credjal, as quoi yinnagh eh y vrah. 
JHN.6.65	As dooyrt eh, Shen-y-fa dooyrt mish riu, nagh vod dooinney erbee cheet hym’s, mannagh bee eh er ny choyrt da liorish my Ayr.
JHN.6.66	Veih yn traa shen hie ymmodee jeh e eiyrtee back, as cha huill ad arragh mârish. 
JHN.6.67	Eisht dooyrt Yeesey rish y daa ostyl yeig, Jed shiuish myrgeddin reue? 
JHN.6.68	Eisht dreggyr Simon Peddyr eh, Hiarn, quoi gys hem mayd? ayd’s ta goan y vea veayn. 
JHN.6.69	As ta shin credjal, as shickyr jeh dy nee uss yn Creest, Mac y Jee bio. 
JHN.6.70	Dreggyr Yeesey ad, Nagh vel mish er reih shiuish yn ghaa-yeig, as ta fer j’iu ny youyl? 
JHN.6.71	Loayr eh jeh Yuaase Iscariot mac Simon: son eshyn eh va dy vrah eh, as v’eh fer jeh’n daa ostyl yeig.
JHN.7.1	Ny lurg shoh duirree Yeesey ayns Galilee: son cha row eh booiagh cummal ayns Judea, er-yn-oyr dy row ny Hewnyn shirrey eh y varroo. 
JHN.7.2	Nish va feailley cabbaneyn ny Hewnyn er-gerrey. 
JHN.7.3	Dooyrt e vraaraghyn er-y-fa shen rish, Faag y voayl shoh, as immee gys Judea, dy vod ny eiyrtee t’ayd ayns shen myrgeddin fakin ny obbraghyn t’ou dy yannoo. 
JHN.7.4	Son cha vel dooinney erbee freayll e obbraghyn follit, as eh-hene shirrey dy ve cronnal: My t’ou jannoo ny reddyn shoh soilshee oo hene da’n theihll. 
JHN.7.5	Son chamoo ren e vraaraghyn hene credjal ayn. 
JHN.7.6	Eisht dooyrt Yeesey roo, Cha vel my hraa’s foast er jeet: agh ta’n traa euish dy kinjagh jesh diu. 
JHN.7.7	Cha vod y seihll dwoaie y chur diuish, agh dooys te cur dwoaie; er-yn-oyr dy vel mee gymmyrkey feanish jeh, dy vel ny obbraghyn echey olk. 
JHN.7.8	Immee-jee shiuish seose gys y feailley shoh: cha vel mish son goll seose foast gys y feailley shoh, er-yn-oyr nagh vel my hraa foast er jeet. 
JHN.7.9	Tra v’eh er ghra ny goan shoh roo, duirree eh myr v’eh ayns Galilee.
JHN.7.10	Agh tra va e vraaraghyn er gholl seose, eisht hie eshyn myrgeddin seose gys y feailley, cha nee dy foshlit, agh myr dy beagh eh dy follit. 
JHN.7.11	Eisht va ny Hewnyn briaght er e hon ec y feailley, as dooyrt ad, Cre vel eh? 
JHN.7.12	As va lane argane mastey yn pobble mychione echey: son va paart gra, She dooinney mie eh: as feallagh elley gra, Cha nee; agh t’eh molley yn pobble. 
JHN.7.13	Ny-yeih, cha loayr dooinney erbee dy foshlit jeh, goaill aggle roish ny Hewnyn.
JHN.7.14	Nish mysh mean y feailley, hie Yeesey seose gys y chiamble, as dynsee eh. 
JHN.7.15	As ghow ny Hewnyn yindys, gra, Kys ta lheid yn ynsagh ec y dooinney shoh, nagh row eh-hene rieau ynsit? 
JHN.7.16	Dreggyr Yeesey ad, as dooyrt eh, Cha vel my ynsagh lhiam pene, agh leshyn t’er my choyrt. 
JHN.7.17	My vees dooinney erbee aggindagh yn aigney echeysyn y yannoo, yiow eh toiggal jeh’n ynsagh, nee veih Jee te, ny vel mee loayrt jee’m pene. 
JHN.7.18	Eshyn ta loayrt jeh hene, t’eh shirrey e ooashley hene: agh eshyn ta shirrey yn ooashley echeysyn t’er choyrt eh, t’eh shen firrinagh, as cha vel neu-chairys erbee ayn. 
JHN.7.19	Nagh dug Moses yn leigh diu, as cha vel fer j’iu freayll yn leigh? Cre’n-fa ta shiu shirrey my vioys y ghoaill? 
JHN.7.20	Dreggyr y pobble eh, as dooyrt ad, Ta drogh-spyrryd breagagh aynyd: Quoi ta shirrey dty vioys y ghoaill? 
JHN.7.21	Dreggyr Yeesey as dooyrt eh roo, Ta mish er n’yannoo yn un obbyr shoh, as ta shiu ooilley goaill yindys. 
JHN.7.22	Hug Moses er-y-fa shen yn giarey-chymmylt diu, (cha nee son dy vel eh jeh Moses, agh jeh ny ayraghyn) as ta shiu er laa yn doonaght giarey-chymmylt dooinney. 
JHN.7.23	My ta dooinney er y doonaght goaill giarey-chymmylt, son nagh bee leigh Voses er ny vrishey; vel shiuish jymmoosagh rhym’s, son dy vel mee er n’yannoo dooinney ooilley magh slane er y doonaght? 
JHN.7.24	Ny jean-jee briwnys rere yn caslys, agh jean-jee briwnys cairagh. 
JHN.7.25	Eisht dooyrt paart jeusyn va veih Jerusalem, Nagh nee shoh eh t’ad shirrey dy varroo? 
JHN.7.26	Agh cur-my-ner, t’eh loayrt dy foshlit, as cha vel ad gra veg n’oï: vel dy jarroo fys ec ny firreill dy nee shoh yn Creest firrinagh? 
JHN.7.27	Ny-yeih ta enney ain er y dooinney shoh cre-voish t’eh: agh tra hig Creest, cha bee fys ec dooinney erbee cre-voish t’eh. 
JHN.7.28	Eisht deïe Yeesey ayns y chiamble myr v’eh gynsaghey, gra, Ta chammah enney eu orrym’s, aa ta fys eu cre-voish ta mee: as cha vel mish er jeet jee’m pene, agh t’eshyn t’er ny choyrt firrinagh, eshyn cha nione diu. 
JHN.7.29	Agh shione dooys eh, son ta mee veih, as t’eh er my choyrt. 
JHN.7.30	Eisht v’ad shirrey y ghoaill eh: agh cha dug dooinney erbee laue er, son nagh row yn oor echey foast er jeet. 
JHN.7.31	As ren ymmodee jeh’n pobble credjal ayn, as dooyrt ad, Tra hig Creest, jean eh ny shlee mirril na ad shoh ta’n dooinney shoh er n’yannoo?
JHN.7.32	Cheayll ny Phariseeyn dy row yn pobble tallagh myr shoh my-e-chione: as hug ny Phariseeyn as ny ard-saggyrtyn magh sidooryn dy ghoaill eh. 
JHN.7.33	Eisht dooyrt Yeesey roo, Foast tammylt beg ta mish mêriu, as eisht ta mee goll huggeysyn t’er my choyrt. 
JHN.7.34	Shirree shiu mee agh cha vow shiu mee: as y raad ta mish, cha vod shiuish cheet. 
JHN.7.35	Eisht dooyrt ny Hewnyn nyn mast’ oc hene, C’raad hed eh, nagh vow mayd eh? jed eh gys ny Hewnyn t’er nyn skeayley mastey ny Ashoonee, as adsyn y ynsaghey? 
JHN.7.36	Cre’n monney dy raa shoh t’eh er loayrt, Shirree shiu mee, agh cha vow shiu mee: as y raad ta mish cha vod shiuish cheet? 
JHN.7.37	Er y laa s’jerree, laa mooar ny feailley, hass Yeesey, as deïe eh, gra, My ta dooinney erbee paagh, lhig da cheet hym’s as giu. 
JHN.7.38	Eshyn ta credjal aynym’s, myr ta’n scriptyr er ghra, Ass y chree echeysyn roieys strooanyn dy ushtey bio. 
JHN.7.39	(Agh shoh loayr eh jeh’n Spyrryd, v’adsyn va credjal ayn ry-hoi gheddyn: son cha row yn Spyrryd Noo foast er ny choyrt, er-yn-oyr nagh row Yeesey foast er ny ghloyraghey.)
JHN.7.40	Dooyrt ymmodee jeh’n pobble er-y-fa shen, tra cheayll ad y raa shoh, Ayns firrinys shoh yn phadeyr. 
JHN.7.41	Dooyrt feallagh elley, She shoh yn Creest. Agh dooyrt paart, Jig Creest ass Galilee? 
JHN.7.42	Nagh vel y scriptyr er ghra, Dy
JHN.7.43	Myr shen va streeu mastey’n pobble mychione echey. 
JHN.7.44	As va paart jeu son goaill eh; agh cha dug dooinney jeu laue er.
JHN.7.45	Eisht haink ny sidooryn gys ny ard-saggyrtyn as ny Phariseeyn, dooyrt roo, Cre’n-fa nagh dug shiu lhieu eh? 
JHN.7.46	Dreggyr ny sidooryn, Cha ren rieau dooinney loayrt myr y dooinney shoh. 
JHN.7.47	Eisht dreggyr ny Phariseeyn ad, Vel shiuish myrgeddin er nyn molley? 
JHN.7.48	Vel veg jeh ny fir-reill, as jeh ny Phariseeyn er chredjal ayn? 
JHN.7.49	Agh ta’n pobble shoh, nagh vel toiggal yn leigh, fo mollaght. 
JHN.7.50	Dooyrt Nicodemus roo (eh haink gys Yeesey ayns yn oie, v’eh fer jeusyn). 
JHN.7.51	Vel y leigh ainyn deyrey dooinney erbee roish clashtyn y choyrt da, as prowal oc n’oï cre t’eh er n’yannoo? 
JHN.7.52	Dreggyr adsyn, as dooyrt ad rish, Nee ass Galilee t’ou uss myrgeddin? jean-jee ronsaghey as jeeaghyn: son cha vel phadeyr erbee er droggal ayns Galilee. 
JHN.7.53	As jimmee dy chooilley ghooinney roish gys e hie hene.
JHN.8.1	Hie Yeesey gys cronk ny Oliveyn. 
JHN.8.2	As dy moghey laa-ny-vairagh hie eh reesht gys y chiamble, as haink ooilley yn pobble huggey; as hoie eh sheese, as dynsee eh ad. 
JHN.8.3	As hug ny scrudeyryn as ny Phariseeyn lhieu huggey ben va goit ayns brishey-poosey; as tra v’ad er hoiaghey ee kiongoyrt rish, 
JHN.8.4	Dooyrt ad rish, Vainshter, va’n ven shoh goit ayns brishey-poosey, ayns yn eer peccah. 
JHN.8.5	Nish ta Moses ayns y leigh er chur sarey dooin, e lheid dy ve er ny claghey, agh cre t’ou uss dy ghra? 
JHN.8.6	Shoh dooyrt ad dy phrowal eh, dy voddagh cooish chassid y ve oc n’oï. Agh chroym Yeesey sheese, as lesh e vair scrieu eh er y laare, myr nagh beagh eh dy nyn glashtyn. 
JHN.8.7	As myr lhie ad er son ansoor, hrog eh eh-hene seose, as dooyrt eh roo, Lhig dasyn ta fegooish peccah nyn mast’eu tilgey yn chied chlagh urree. 
JHN.8.8	As chroym eh sheese reesht, as scrieu eh er y laare. 
JHN.8.9	As v’adsyn cheayll eh, er nyn gheyrey liorish nyn gooinsheanse hene, as hie ad magh fer lurg fer jeu, goaill toshiaght veih yn er-shinney gys yn er-saa: as va Yeesey faagit ny-lomarcan, as y ven ny shassoo kiongoyrt rish. 
JHN.8.10	Tra hrog Yeesey eh-hene seose, as nagh vaik eh unnane erbee agh y ven, dooyrt eh r’ee, Ven, cre vel ad shen dty chassidee? vel dooinney erbee er dty gheyrey? 
JHN.8.11	Dooyrt ish, Cha vel dooinney erbee, Hiarn. As dooyrt Yeesey r’ee, Chamoo ta mish dy dty gheyrey: immee royd, as ny jean peccah arragh.
JHN.8.12	Eisht loayr Yeesey roo reesht, gra, Mish soilshey yn theihll: eshyn ta geiyrt orrym’s, cha shooyllee eh ayns y dorraghys, agh bee echeysyn soilshey yn vea, 
JHN.8.13	Dooyrt ny Phariseeyn er-y-fa shen rish, T’ou gymmyrkey feanish jeed hene; cha vel dty eanish firrinagh. 
JHN.8.14	Dreggyr Yeesey as dooyrt eh roo, Ga dy vel mee gymmyrkey feanish jee’m pene, foast ta’n eanish aym firrinagh: son ta fys aym cre-voish haink mee, as c’raad ta mee goll; agh cha s’euish cre-voish haink mee, ny c’raad ta mee goll. 
JHN.8.15	Ta shiuish briwnys lurg briwnys ny foalley; cha vel mish briwnys dooinney erbee. 
JHN.8.16	As foast my ta mee briwnys, ta my vriwnys firrinagh: son cha vel mish my lomarcan, agh mish as yn Ayr t’er my choyrt, t’eh mârym. 
JHN.8.17	Eer ayns y leigh eu hene te scruit, dy vel feanish daa ghooinney firrinagh. 
JHN.8.18	Ta mish gymmyrkey feanish dou hene, as ta’n Ayr t’er my choyrt gymmyrkey feanish dou. 
JHN.8.19	Eisht dooyrt ad rish, Cre vel dty Ayr? Dreggyr Yeesey, Cha vel enney eu orrym’s, ny er my Ayr: dy beagh enney er ve eu orrym’s, veagh enney er ve eu er my Ayr myrgeddin. 
JHN.8.20	Ny goan shoh loayr Yeesey ’sy room tashtee, myr v’eh gynsaghey ayns y chiamble: as cha dug dooinney erbee laue er, son cha row yn oor echey foast er jeet. 
JHN.8.21	Eisht dooyrt Yeesey roo reesht, Ta mee goll roym, as nee shiu my hirrey, as yiow shiu baase ayns nyn beccaghyn: raad ta mish goll, cha vod shiuish cheet. 
JHN.8.22	Eisht dooyrt ny Hewnyn, Jean eh eh-hene y varroo? er-yn-oyr dy vel eh gra, Raad ta mish goll, cha vod shiuish cheet. 
JHN.8.23	As dooyrt eh roo, Ta shiuish veih heese, ta mish veih heose: ta shiuish jeh’n theihll shoh, cha vel mish jeh’n theihll shoh. 
JHN.8.24	Dooyrt mee er-y-fa shen riu, dy voghe shiu baase ayns nyn beccaghyn: son mannagh vel shiu credjal dy nee mish eh, yiow shiu baase ayns nyn beccaghyn. 
JHN.8.25	Eisht dooyrt ad rish, Quoi oo hene? As dooyrt Yeesey roo, Yn fer cheddin dooyrt mee riu er-dyn toshiaght. 
JHN.8.26	Ta ymmodee reddyn aym’s dy ghra as dy vriwnys jiuish: agh ta eshyn t’er my choyrt firrinagh; as ta mee loayrt rish y theihll shen ta mee er chlashtyn veihsyn. 
JHN.8.27	Cha hoig ad dy row eh loayrt roo mychione yn Ayr. 
JHN.8.28	Eisht dooyrt Yeesey roo, Tra vees shiu erreish yn Mac dooinney y hroggal seose, eisht bee fys eu dy nee mish eh, as nagh vel mee jannoo nhee erbee jee’m pene; agh dy vel mee loayrt ny reddyn shen ta my Ayr er chur roym. 
JHN.8.29	As ta eshyn t’er my choyrt mârym: cha vel yn Ayr er my aagail my lomarcan: son ta mee dy kinjagh jannoo ny reddyn shen ta dy wooiys eh. 
JHN.8.30	Choud as v’eh loayrt ny goan shoh ren ymmodee credjal ayn. 
JHN.8.31	Eisht dooyrt Yeesey rish ny Hewnyn shen va credjal ayn, My nee shiu tannaghtyn ayns my ghoo, eisht bee shiu dy jarroo ny ynseydee aym’s; 
JHN.8.32	As bee toiggal eu jeh’n irriney, as nee yn irriney shiu y heyrey.
JHN.8.33	Dreggyr adsyn eh, She sluight Abraham shin, as cha row shin rieau ayns bondiaght da dooinney erbee: cre’n aght t’ou gra eisht, Bee shiu er nyn yannoo seyr? 
JHN.8.34	Dreggyr Yeesey ad, Dy firrinagh-focklagh ta mee gra riu, Quoi-erbee ta cur-rish peccah, t’eh ayns bondiaght peccah. 
JHN.8.35	As cha vel y charvaant tannaghtyn kinjagh ayns y thie: agh ta’n Mac tannaghtyn kinjagh. 
JHN.8.36	My nee yn Mac er-y-fa shen shiuish seyr, bee shiu seyr dy jarroo. 
JHN.8.37	Ta fys aym dy nee sluight Abraham shiu; agh ta shiu shirrey mish y varroo, er-y-fa nagh vel my ghoo er ghoaill greme erriu. 
JHN.8.38	Ta mish loayrt shen ny ta mee er n’akin ec my Ayr’s: as ta shiuish jannoo shen ny ta shiu er vakin ec yn ayr euish. 
