GEN.1.1	Gaihcij dwg Cangqdiq cauh gwnzmbwn caeuq lajdeih okdaeuj he. 
EXO.22.16	“Hauhnaeuz miz byawz vunzsai yaeuh hawj lwgsau mijyaengz dingqvwnh caeuq mijyaengz ngaiz vunzsai yaek goq haem cix haenj de hwj caeuq de ninz lo, yiengq, boux vunzsai mwnq couh ij ngaiz soengq laex hawj ndaw ranz dah lwgsau mwnq, aeu dah de ma guh yah. 
EXO.22.17	Hauhnaeuz daxboh dah de mbouj dungziq hawj dah lwgsau de haq laeng de, de caemh ij ngaiz ciuq gij vunz aeu yah, aeu gij lwgsau mijyaengz caeuq vunzsai ninz goq he soengq hih laex ma soengq ngaenz hawj de.
EXO.22.18	“Famz rox coengqfap gimq vunz hih vunzbaz, cungj ij ngaiz gajrai bae.
EXO.22.19	“Caeuq doenghduz doxgwih hih vunz, ij gajrai boux vunz mwnq bae.
EXO.22.20	“Mbouj dwg caenhgag bwiz Yehhozvaz, vanzlij caiq bwiz linghvaih hih cwnz hih, cungj ij ngaiz gajrai bae.
EXO.22.21	“Mbouj ndaej hangz gij vunz daj vaihguek daeuj he; faenhsou ijaeu ndaejgeiq, faenhsou caemh dwg doz youq laeng dieg Ngaihgiz youq goq he.
EXO.22.22	“Mbouj ndaej yawj mehmaiq cixnaeuz lwggyax ngawz. 
EXO.22.23	Hauhnaeuz yawj gyoengqde ngawz, gyoengqde gouz gou nex, gou gaengjdingq dingqri. 
EXO.22.24	Daengz mwhmwnq, gou couh aeuqheiq faenhsou, yiengq couh aeu cax ma gaj faenhsou, caemh hawj mehyah faenhsou bienqbaenz mehmaiq, gij lwg faenhsou bienqbaenz lwggyax.
EXO.22.25	“Hauhnaeuz mwngz ciq ngaenz hawj gij vunz gou hih gij vunz gungz he nex, mwngz mbouj ndaej luj coengqcaiq yienghmwnq laeng de suenq aeu leih. 
EXO.22.26	Hauhnaeuz mwngz ciq ngaenz hawj vunz gungz le, aeu diuz buhdox de ma guh dijyaz, yiengq, mwngz bietdingh ij youq gyangjngoenz mijyaengz doek cihsenz aeu hawj de boiz; mbouj ndaej gyangjngoenz doek le cij aeu hawj de, 
EXO.22.27	aenvih de caenhgag miz diuz buhdox neix, gauq diuz buh neix ndaej daenj raeuj lo. Hauhnaeuz mbouj miz diuz buh neix, de baenzlawz ndaej ninz nej? Daengz mwhmwnq, de gouz gou bang de, gou gaengjdingq bang de, aenvih gou dwg boux sim'unq he.
EXO.22.28	“Mboujcwnj gangj gij vah doegsieb he ma ndaq Cangqdiq, caemh mbouj ndaej mang beksingq dih lingjdauj.
EXO.22.29	“Ij dawz mwngz ngamq sou haeujma dih haeux hah, laeuj hah, caeuq youz hah daeuj soengq hawj gou; ij haijliengh, mbouj ndaej simsenz.
EXO.22.29	“Daeglwg daeuz mwngz caemh ij gvi hawj gou; 
EXO.22.30	cwz hah, yiengz hah sojmiz hih duz daixdaeuz de caemh dwg ij gvi hawj gou. Cwzdaeg hah, yiengzdaeg hah, doengh duz daixdaeuz ngamq seng ndaej caet ngoenz ndaw de ndaej gaen duz meh de; daengz daixbet ngoenz le, couh ij gvi hawj gou.
EXO.22.31	“Faenhsou ij guh gij vunz gou, sojhij, doengh duz cukseng youq ndaw reih ngaiz duz nyaen haeb rai hih, gij noh de, faenhsou mbouj ndaej gw; ij gveng hawj ma gw.
EXO.23.1	“Mbouj ndaej luenhbangh sauqyauz; mbouj ndaej luenh cingqmingz hwj bang vunz vaih.
EXO.23.2	“Mbouj ndaej vunz guh vaihsaeh, mwngz caemh gaen guh vaihsaeh. Mbouj ndaej raen vunzlai naeuz deng mwngz caemh gaen naeuz deng, vunz naeuz mbouj deng mwngz caemh gaen naeuz mbouj deng, yienghmwnq ma boqvaiq saedsaeh. 
EXO.23.3	Caemh mbouj ndaej youq gij saeh vunz doxgauq he haeuj vunz gungz.
EXO.23.4	“Hauhnaeuz raen duz cwz haj cixnaeuz raen duz lawz boux caeuq mwngz miz haemzcaeuz he loengj roen lo, yiengq mwngz ij bang ying duz de ma hawj de. 
EXO.23.5	Hauhnaeuz mwngz raen duz lawz boux caeuq mwngz miz caeuz he doz doxgaiq naek ngaiz daenz laemx, yiengq mwngz mbouj ndaej bienq deuz; ij caeuq bouxcawj de buen gij doxgaiq naek de deuz.
EXO.23.6	“Youq gwnz fazdingz, mbouj ndaej hawj vunz gungz rap vuengj. 
EXO.23.7	Mbouj ndaej bangjlaih vunz, caemh mbouj ndaej luenh gaj mbouj miz coih hih vunz; mbouj nex, gou bietdingh ij fad doenghgij vunz guh doenghgij saeh neix he.
EXO.23.8	“Vunz oet cienz hawj mbouj ndaej aeu, aenvih gw vunz doxgaiq le, bak unq, aeu vunz doxgaiq le, fawz dinj, aenvih yienghmwnq couh hawj vunz bienqbaenz mbouj faen cingsuj ndei haj yak—ndei bienq rwix, rwix bienq ndei lo.
EXO.23.9	“Mbouj ndaej hangz gij vunz daj vaihdieg daeuj doz youq he, aenvih faenhsou caemh doz youq dieg Ngaihgiz youq goq, caemh rox doz youq dieg vunz youq hih haemzhoj.
EXO.23.10	“Mwngz ij lienzdaemh genggeng ndaemndaem roek bi dih reihnaz, sou roek bi hih haeuxmienh. 
EXO.23.11	Hoeng, daengz daixcaet bi, mbouj ndaej geng, mbouj ndaej ndaem; ij diuh vangh. Ndaw reih soj hwnj hih doenghgo, mwngz mbouj ndaej sou aeu, ndaej hawj gij vunz gungz nyaeb aeu; lij lw hih yiengh hawj doengh duz nyaen gw. Doenghheij suen buzdauz, suen makmbi mwngz hah caemh ciuq yienghneix guh.
EXO.23.12	“Mwngz moix it aen singhgiz ndaej lienzdaemh guh roek ngoenz hong. Daengz daixcaet ngoenz, mbouj ndaej guh hong lo; ij hawj gij hoiq ndaw ranz mwngz daiqlienz gij lwg hoiq vunzbaz mwnq caeuq daj lingh aen minzcuz goq daeuj guh hong hih ndaej yietbaeg, caeuq ndaej hawj doengh duz cwz hah, lawz hah yietbaeg.
EXO.23.13	“Famzsoj dwg gou caeuq faenhsou gangj hih vah, faenhsou cungj ijaeu ndaejgeiq. Mbouj ndaej baiq gizdah cwnz, daiqlienz doenghgij coh de cungj mbouj ndaej dwen.
EXO.23.14	“Vih ij soenhcungq gou, mwngz moix it bi ij souj sam aen ciet. 
EXO.23.15	Mwngz ij souj aen ciet Cawz Yauqmuj he, ciuq gou raengq mwngz hih yienghmwnq ij youq ndwen Yaqbiz
EXO.23.16	Mwngz caemh ij souj aen ciet Gvejgvej Sousou he, couh dwg youq ndaw reih mwngz dajndaem sou hih gaem daixdaeuz he. Caemh souj aen ciet Gvejsou Sat, sou haeujma diuh hih. 
EXO.23.17	Ndaw ranz mwngz sojmiz hih vunzsai, binaengz daengz sam aen ciet neix caemh ij daeuj bwiz gou, bouxcawj sou Yehhozvaz.
EXO.23.18	“Mwngz mbouj ndaej aeu gij lwed doengh duz cukseng caeuq fat goq hih bingj doxcaeuq dawz daeuj bwiz gou. Gij lauz doengh duz cukseng dajbwiz mwnq caemh mbouj ndaej louz daengz ngoenz daixngeih daihcaeux.
EXO.23.19	“Mwngz soj sou ndaej haeujma hih ij aeu gij sou ceiq daixdaeuz he, dawz bae soengq hawj gou, Yehhozvaz, mwngz dih Cangqdiq.
EXO.23.19	“Mbouj ndaej aeu nauq yiengzmeh ma cawj duz yiengzlwg bonjfaenh de.
EXO.23.20	“Gou ij baij bouxcai he youq dangqnaj mwngz daiq roen, itloh bae baujhuq mwngz, daiq mwngz bae daengz mwnq dieg gou gaenq cwnjbiq ndei hawj mwngz he. 
EXO.23.21	De dwg hij gij mingzhiq gou daeuj he; faenhsou ij soenhcungq de, ij dingq gij vah de, mbouj ndaej nga'ngangq goq lingh gok bae, aenvih de mbouj nyiuz gij coih faenhsou law. 
EXO.23.22	Hauhnaeuz mwngz saedsaeh dingq gij vah de, ciuq gou soj gangj hih vah bae guh nex, gou caemh yawj boux caeuq mwngz miz caeuz he caemhdangq boux caeuz gou. 
EXO.23.23	Gou hawj bouxcai gou youq dangqnaj mwngz daiq roen, daiq mwngz bae daengz mwnq dieg Yaqmohliq vunz hah, Hwz vunz hah, Bijliqsij vunz hah, Gyahnamz vunz hah, Hihveiq vunz hah, Yehbuqswh vunz hah youq hih mwnq dieg mwnq bae; gou caemh ij cawz gyoengqde bae. 
EXO.23.24	Mwngz mbouj ndaej baiq caeuq swqhaeuh gyoengq cwnz gyoengqde, dauqfanj ij dub soiq doengh dongqsix gyoengqde baiq he bae.
EXO.23.25	“Faenhsou ij swqhaeuh gou, Yehhozvaz, faenhsou dih Cangqdiq. Hauhnaeuz faenhsou yienghneix guh, gou gaengjdingq soengq fuk hawj faenhsou, nyok gij gw caeuq raemx hawj faenhsou, hawj faenhsou ndangdaej giencangq, mij saek yiengh bingh, 
EXO.23.26	gij vunzbaz faenhsou mbouj miz saek boux naeuz ngaiz siujcanj hah cixnaeuz mbouj mizseng hah yienghmwnq. Gou vanzlij ij hawj faenhsou ndaej souhyienz.
EXO.23.27	“Mboujguenj mwngz bae daengz mwnq dieglawz, gou cungj ij hawj gij vunz dieg mwnq simvueng ndangsaenz; gij vunz caeuq mwngz miz haemzcaeuz he riq deuz hwj maetlaenq bae. 
EXO.23.28	Gou ij hawj duz dinz mbin bae gaxgonq mwngz boenq doenghgij Hihveiq vunz hah, Gyahnamz vunz hah, Hwz vunz hah deuz bae. 
EXO.23.29	Hoeng, gou mbouj veiq youq bi he boenq gyoengqde deuz liux law; hauhnaeuz youq bi he boenq deuz liux nex, hoengjlau doenghheij dieg reih bienqbaenz dieg vangh le, doengh duz nyaen fat lai hwj daeuj haih mwngz. 
EXO.23.30	Gou ij baez di baez di boenq gyoengqde deuz, daengj daengz gij vunz mwngz fat lai le, caemh ndaej gag guenj gij dieg mwnq le, gou cij boenq gyoengqde deuz liux bae.
EXO.23.31	“Daengz mwhmwnq, gou couh ij veh sienq gat hawj mwngz, couh dwg dajlwh Hungz Haij daengz Feihliqswq Haij,
EXO.23.32	Mwngz mbouj ndaej caeuq gyoengqde cixnaeuz caeuq gij cwnz gyoengqde doxdingh gijmaz. 
EXO.23.33	Mbouj ndaej hawj gyoengqde youq laeng dieg mwngz youq, hoengjlau gyoengqde hawj mwngz gaen ciuq gij laehbeih gyoengqde guh le, bae baiq gij cwnz gyoengqde hwj mwngz couh yied gaen yied yinx.”
EXO.24.1	Yehhozvaz doiq Mohsih naeuz: “Mwngz caeuq Yaqlwnz hah, Nazdaz hah, Yaqbijhuq hah, caeuq caetcib boux Hijswzlez vunz gangj vah couh baenz he hwnj daeuj laeng gou neij, hoeng, faenhsou ij daj lizgyae cix gvih roengzma sax gou lo. 
EXO.24.2	Caenhgag ndaej mwngz daeuj gaenh gou lah; lij lw hih vunz mboujcwnj daeuj gaenh gou, gij vunz caemh mbouj ndaej gaen mwngz hwnj bya daeuj.”
EXO.24.3	Yiengq, Mohsih couh roengz bya ma, dawz Yehhozvaz soj gangj hih vah caeuq soj dingh hih gveihdingq gangj naeuz gij vunz ni. Gyoengq vunz cungj doengxcaez han bak naeuz: “Yehhozvaz soj raengq hih, gyoengqraeuz gaengjdingq ciuq guh!” 
EXO.24.4	Gajlaeng, Mohsih caemh dawz Yehhozvaz soj mingqlingq hih cungj sij hwnjdaeuj lo.
EXO.24.4	Daengz haet daixngeih daihcaeux, Mohsih couh youq laj dinbya caeb aen luz dajbwiz he, caemh ciuq gij vunz Hijswzlez dih cibngeih aen cuz ma caep cibngeih dongqsaeu, 
EXO.24.5	caiq hawj gij vunzsai Hijswzlez hih boux haemq hauxseng he bae aeu cwzlwg daeg ma gaj le coemh hwj bwiz Yehhozvaz, caemh vih muengh ndaej doxhuz hwj caemh aeu cwzlwg daeg ma gaj hwj bwiz. 
EXO.24.6	Mohsih dawz gij lwed cwzlwg daeg coux mbangj youq ndaw buenz, mbangj saj youq gwnz luz dajbwiz le, 
EXO.24.7	couh dawz Yehhozvaz soj dingh hih doeg naeuz gij vunz ni. Gyoengq vunz dingq le, cungj naeuz: “Yehhozvaz soj dingh hih gveihdingq, gyoengqraeuz gaengjdingq ciuq hengz.”
EXO.24.8	Gyoengq vunz gangj sat, Mohsih couh dawz gij lwed ndaw buenz saj hwnj gwnz ndang gyoengq vunzlai bae, naeuz: “Gij neix dwg daiqbiuj Yehhozvaz caeuq faenhsou dingh dih baujcingq lienz diuzgyenq dih lwed.”
EXO.24.9	Gajlaeng, Mohsih, Yaqlwnz, Nazdaz, Yaqbijhuq caeuq caetcib boux Hijswzlez vunz gangj vah couh baenz he cungj hwnj 
EXO.24.10	Gyoengqde hwnj bae le, yawjraen Hijswzlez dih Cangqdiq, yawjraen laj din de caenh lujnaeuz ndwn youq mwnq aeu lamzbaujsig ma bu roen he nwih, o soemxsoemx, cengh yupyup. 
EXO.24.11	Gannaeuz gyoengqde muenghyawj Cangqdiq lah, hoeng, Cangqdiq gaenhbaenj mij sienghaih gyoengqde saek boux. Gajlaeng gyoengqde couh youq mwnq itheij gw.
EXO.24.12	Gajlaeng Yehhozvaz doiq Mohsih naeuz: “Mwngz hwnj bya laeng gou dineix daeuj, youq dineix youq; gou ij dawz baj rin gou sij miz hih fazliz caeuq mingqlingq soengq hawj mwngz, hawj mwngz dawz ma son gij vunzlai.”
EXO.24.13+EXO.24.14	Yiengq, Mohsih couh raengq gij vunz Hijswzlez gangj vah couh baenz he, naeuz: “Faenhsou youq dineix daengj gou ma. Dineix miz Yaqlwnz caeuq Huqwj caeuq faenhsou youq; hauhnaeuz beksingq miz maz saeh doxcwngq doxceng hih, couh bae cimh song boux de bax.” 
EXO.24.15	Mohsih hwnj bya bae, baenx aen bya cungj dwg fwj guem liux.
EXO.24.16+EXO.24.17	Gij ronghndongq Yehhozvaz dingz youq bya Sihnaiq; 
EXO.24.18	Yiengq, Mohsih couh haeuj ndaw fwj hwnj dingjbya bae lo. Daj de 
EXO.25.1	Yehhozvaz doiq Mohsih naeuz: 
EXO.25.2	“Mwngz naeuz gij vunz Hijswzlez ni, naeuz hawj gyoengqde soengq doxgaiq daeuj hawj gou. Bouxlawz nyienh'eiq soengq hawj gou hih, faenhsou couh bang gou sou haeujma. 
EXO.25.3	Faenhsou ndaej sou hih dwg gim hah, ngaenz hah, doengz hah, 
EXO.25.4	saeqsaeq nuenxnuenx hih maemaz lamz hah, maemaz aeuj hah, maemaz hoengz hah, caeuq fwn yiengzbya hah, 
EXO.25.5	naeng yiengzgoeng yomx hoengz hah, naeng haijbauq
EXO.25.6	youz daeng hah, caeuq guh youz rang guh yieng dih yanghliuq hah, 
EXO.25.7	doenghgij aeu ma gep youq hijfuzdwz, 
EXO.25.8	“Gij vunz ij guh aen ranz hab gou youq he, hawj gou ndaej caeuq gyoengqde youq he. 
EXO.25.9	Guh cangqbungz caeuq ndaw cangqbungz sojmiz dih doxgaiq, cungj ij ciuq gou hawj mwngz yawj hih gij yiengh mwnq bae guh.
EXO.25.10	“Ij aeu faex gimhhozvuenh ma doq aen gvih he. Aen gvih gij raez de ij miz itbak itcib sam gunghfaenh
EXO.25.11	Aen gvih hih ndaw de caeuq rog de cungj ij aeu cwnz hih gim ma baux liux, gij bien seiqhenz de caemh ij aeu gim ma gep hwj. 
EXO.25.12	Vanzlij daj seiq aen gyengx gim hwj ding youq seiq gij ha de, moix mbiengj song aen. 
EXO.25.13	Caemh ij yungh faex gimhhozvuenh ma guh song diuz faex ram de; song diuz neix caemh ij aeu gim ma baux hwj. 
EXO.25.14	Song diuz faex neix ij con haeuj aen gvih neix hih song mbiengj gyengx gim he bae, ndaej fungbienh ram. 
EXO.25.15	Song diuz faex neix ij siengzseiz dauh youq ndaw gyengx de; mbouj ndaej yot okma. 
EXO.25.16	Ij dawz baj rin gou sij miz fazliz soengq hawj mwngz hih mwnq, coengq haeuj ndaw de bae.
EXO.25.17	“Caemh ij aeu cwnz hih gim ma guh fa goemq aen gvih neix; aen fa neix caemh dwg heuh ‘fagoemqcoih.’ Gij raez de itbak itcib sam gunghfaenh, gvangq ij miz caetcib gunghfaenh.
EXO.25.18	Caemh aeu gim ma diz song duz gihluqbwz, coengq youq fagoemqcoih hih song raeuj de. 
EXO.25.19	It raeuj coengq it duz gihluqbwz, caeuq fagoemqcoih doxnem. 
EXO.25.20	Song duz gihluqbwz naj doiq naj yawj roengz fagoemqcoih aj fwed hwj goemq aen de. 
EXO.25.21	Dawz baj rin sij miz fazliz, gou ij soengq hawj mwngz hih baj rin mwnq, coengq haeuj ndaw gvih bae; caemh dawz fagoemqcoih an youq gwnz gvih de.
EXO.25.22	Gou ij youq mwnq caeuq mwngz doxraen, caemh ij dajlwh cungqgyan song duz gihluqbwz gwnz fagoemqcoih mwnq caeuq mwngz gangj, gangj naeuz gou ij dingh hawj gij vunz Hijswzlez sojmiz dih mingqlingq.
EXO.25.23	“Ij yungh faex gimhhozvuenh ma doq aen daiz he, gij raez de goujcib gunghfaenh, gij gvangq de seiqcib haj gunghfaenh, gij sang de caetcib gunghfaenh.
EXO.25.24	Ij aeu cwnz hih gim ma baux hwj, seiqhenz de caemh ij gep miz gim. 
EXO.25.25	Aen daiz dih seiqhenz de ij doq miz luj baj fawz gvangq hih begdaiz; diuz begdaiz de ij gep miz gim. 
EXO.25.26	Seiq gok ha daiz, caemh ij ding miz seiq aen gyengx gim. 
EXO.25.27	Seiq aen gyengx gim ij ding youq baixrog begdaiz, ding hawj de ndaej con faex ram hwj. 
EXO.25.28	Song diuz faex ram daiz ij aeu faex gimhhozvuenh ma guh, caemh ij aeu gim ma baux liux bae. 
EXO.25.29	Doenghheij buenz hah, deb hah, huzlaeuj hah, caeuq vanj caem laeuj hah, doengh aen ij coengq youq gwnz daiz neix, cungj ij aeu gim ma guh. 
EXO.25.30	Aen daiz neix ij baij youq dangqnaj gou; gwnz daiz ij siengzseiz baij miz bingj.
EXO.25.31	“Ij yungh cwnz hih gim ma guh aen gyaqdaeng he. Aen gyaqdaeng dih gij hangx de hah, gij ganj de hah, caeuq doengh aen cenj coux youz luj duj va gwnz de hah, duqva caeuq limqva de hah cungj dwg caemh ngauq gim he diz okdaeuj doxlienz he. 
EXO.25.32	Aen gyaqdaeng de it mbiengj iet miz sam nga, song mbiengj itgungh miz roek nga. 
EXO.25.33	Moix it nga miz sam duj luj duj va; doengh duj va neix luj vagingq nwih, miz duqva, limqva. Roek nga neix, nga'nga cungj doxdoengz. 
EXO.25.34	Aen gyaqdaeng hih diuz ganj cungqgyan de caemh miz seiq duj luj vagingq, miz duqva, miz limqva. 
EXO.25.35	Aen gyaqdaeng dih moix song nga doxdoiq hih laj doenj doxgap de cungj miz duj he; aen gyaqdaeng miz roek nga, cungj dwg doxdoengz. 
EXO.25.36	Duj va de caeuq gij nga de cungj dwg doxciep; cungj dwg ngauq gim dog diz okdaeuj caemh doxlienz he. 
EXO.25.37	Caemh ij guh aen gyaqdaeng neix hih caet aen daeng de. Doengh aen daeng neix ij ciuq yiengq dangqnaj bae.
EXO.25.38	“Aen gyaqdaeng neix hih fag nep muenxdaeng de caeuq aen buenz de cungj dwg ij aeu cwnz hih gim ma guh. 
EXO.25.39	Ij aeu roekcib bet gaen
EXO.25.40	Mwngz ijaeu siujsim, ij ciuq gou youq gwnz bya hawj mwngz raen hih, raengq mwngz hih yienghmwnq ma guh.
EXO.26.1	“Mwngz ij yungh cib fuk boiqmaz ma guh cangqbungz; doengh fuk boiqmaz neix fukfuk cungj miz sam cungj saek: saeklamz, saekaeuj, saekhoengz, caemh dwg hawj doengh boux fawzsoem rox daemj boiq he daemj. Doengh fuk neix gwnz de cungj caemh ij daemj miz duz gihluqbwz hwj. 
EXO.26.2	Moix fuk gij raez de ij miz cibngeih mij raez, gij gvangq de caemh ij miz song mij gvangq;
EXO.26.3	Mwngz ij dawz haj fuk haj fuk doxneb swnj hwnjdaeuj, faen guh song fuk hwj. 
EXO.26.4+EXO.26.5	Song fuk neix hih fuk he gij bien gatsat de caeuq daixlingh fuk hih gij bien daixdaeuz de caemh ij guh miz hajcib gaiq nuk lamz. Doengh gaiq nuk neix cungj ij nuk caeuq nuk doxdoiq. 
EXO.26.6	Caemh ij guh hajcib gaiq ngaeu gim; yungh doenghgij ngaeu neix ma ngaeu doengh fuk neix le cij ndaej guhbaenz aen cangqbungz he.
EXO.26.7	“Mwngz caemh ij aeu fwn yiengzbya ma daemj hwj guh cib'it fuk boiq fwn, aeu ma guh gij goemq cangqbungz. 
EXO.26.8	Moix fuk dih gij raez de ij miz cibsam mij raez, gij gvangq de caemh ij miz song mij gvangq;
EXO.26.9	Ij dawz haj fuk doxneb swnj hwnjdaeuj guh fuk he, caemh ij dawz roek fuk doxneb swnj hwnjdaeuj guh fuk he. Roek fuk doxneb swnj neix hih buenq fuk gajlaeng de ij boeb hwj goemq youq gwnz bakdou cangqbungz. 
EXO.26.10	Haj fuk doxneb swnj neix dih gij bien gatsat de ij guh miz hajcib gaiq nuk, roek fuk doxneb swnj mwnq dih gij bien daixdaeuz de caemh ij guh hajcib gaiq nuk. 
EXO.26.11	Caiq guh hajcib gaiq ngaeu doengz ngaeu youq doengh gaiq nuk mwnq hwj, hawj song fuk mwnq bienqbaenz vangq goemq cangqbungz he. 
EXO.26.12	Vangq goemq cangqbungz neix lij lw hih buenq fuk ij vuih youq cangqbungz hih baixlaeng de. 
EXO.26.13	Vangq goemq cangqbungz neix hih song henz de, moix it mbiengj lij lw buenq mij,
EXO.26.14	Caemh ij aeu naeng yiengzbya yomx hoengz ma guh fan goemq cangqbungz, caemhcaiq yungh naeng haijbauq
EXO.26.15	“Mwngz ij aeu benj gimhhozvuenh ma daengj hwj guh gij ciengz cangqbungz. 
EXO.26.16	Moix it dip benj ijaeu miz seiq mij haj sang, gvangq ijaeu miz caetcib gunghfaenh gvangq.
EXO.26.17	Moix dip benj hih raeuj he bietdingh ij siuq miz song gij yod; guh ciengz cangqbungz sojmiz hih benj cungj ij yienghneix guh. 
EXO.26.18	Cangqbungz dih mienh baixnamz ij miz ngeihcib dip benj daengj guh ciengz. 
EXO.26.19	Laj daej ciengz ij aeu ngaenz ma guh miz seiqcib congh hwj ndaej cap doengh dip benj neix haeuj bae he, moix dip cap song congh. 
EXO.26.20	Cangqbungz hih mienh baixbaek caemh ij aeu ngeihcib dip benj guh ciengz. 
EXO.26.21	Laj daej ciengz ij aeu ngaenz ma guh seiqcib congh hwj ndaej cap haeujbae he; moix it dip benj boiq miz song congh. 
EXO.26.22	Cangqbungz dih mienh baixlaeng de, couh dwg mienh baixsae, ij miz roek dip benj guh ciengz. 
EXO.26.23+EXO.26.24	Cangqbungz hih song gok ciengz baixlaeng de, 
EXO.26.25	 itgungh miz bet dip benj caeuq cibroek congh aeu ngaenz ma guh he, moix dip hih laj de cungj boiq guh miz song congh.
EXO.26.26+EXO.26.27	“Mwngz caemh ij aeu faex gimhhozvuenh ma guh diuz lanz vang de, 
EXO.26.28	Diuz lanz cungqgyan ij daj raeuj lanz daengz raeuj. 
EXO.26.29	Doengh dip benj neix ij aeu gim ma baux hwj, caemh ij aeu gim ma guh gyengx cij ndaej con diuz faex lanz de haeujbae. Diuz faex lanz caemh ij aeu gim ma baux.
EXO.26.30	“Mwngz ij ciuq gou youq gwnz bya hawj mwngz raen hih yienghmwnq bae dap cangqbungz.
EXO.26.31	“Mwngz ij aeu saeqsaeq nuenxnuenx hih maemaz lamz hah, maemaz aeuj hah, maemaz hoengz hah ma hawj doengh boux fawzsoem he daemj hwj guh fanyiemz. Fanyiemz gwnz de caemh ij daemj miz duz gihluqbwz. 
EXO.26.32	Ij dawz fanyiemz neix venj youq seiq diuz dongh faex gimhhozvuenh aeu gim ma baux he. Doengh diuz dongh neix gwnz de miz ngaeu gim; seiq diuz dongh cap youq seiq congh aeu ngaenz ma guh he. 
EXO.26.33	Fanyiemz venj youq gij ngaeu gwnz de, roengz gek hwj guh fungh ndaw fungh rog; fungh ndaw dwg gou youq he. Aen gvih coengq miz baengzgawq mwnq coengq youq baixndaw fanyiemz. 
EXO.26.34	Caiq dawz fagoemqcoih coengq youq gwnz gvih ndaw fungh hwj. 
EXO.26.35	Dawz aen daiz 
EXO.26.36	“Mwngz ij aeu saeqsaeq nuenxnuenx hih maemaz lamz hah, maemaz aeuj hah, maemaz hoengz hah ma hawj doengh boux rox daemj boiq he daemj hwj guh fan yiemzdou cangqbungz. 
EXO.26.37	Caemh ij aeu faex gimhhozvuenh ma guh fan yiemzdou neix hih haj diuz dongh de. Doengh diuz dongh neix ij aeu gim ma baux hwj, gwnz de caemh ij guh miz ngaeu gim, caeuq aeu doengz ma guh haj diuz dongh neix hih haj congh cap.
EXO.27.1	“Mwngz ij aeu faex gimhhozvuenh ma doq aen luz coemh doenghduz hwj dajbwiz he. Aen de dwg seiq cingq seiq gok he; gij raez de caeuq gij gvangq de cungj dwg song mij sam, gij sang de it mij sam sang.
EXO.27.2	Aen luz dajbwiz neix mwnq gok de ij guh miz gok dod hwnjdaeuj he hwj; gok caeuq luz dwg doxlienz he, caemh dwg aeu doengz ma baux hwj. 
EXO.27.3	Caemh aeu doengz ma guh doengj coux daeuh hah, fag canj hah, buenz coux lwed hah, fag ca yamx noh hah, buenz coux gyoqfeiz hah. Gwnz aen luz soj yungh hih cungj ij aeu doengz ma guh. 
EXO.27.4	Caemh ij guh fan vangx doengz he boiq aen luz dajbwiz. Fan vangx neix seiq gok de caemh ij guh miz gyengx doengz. 
EXO.27.5	Ij ding fan vangx neix youq ndaw aen luz dajbwiz neix daj laj hwnj daeuj dingxfaen he. 
EXO.27.6	Caemh aeu faex gimhhozvuenh ma guh diuz ram de; diuz ram neix caemh dwg aeu doengz ma baux hwj. 
EXO.27.7	Dawz diuz faex neix con haeuj song aen gyengx henz de bae le, couh ndaej seizbienh ram lo. 
EXO.27.8	Aen luz dajbwiz neix cungj dwg aeu faex ma doq; cungqgyan de dwg hoengq he. Mwngz ij ciuq gou youq gwnz bya hawj mwngz raen hih yienghmwnq bae guh.
EXO.27.9	“Mwngz caemh ij guh veizciengz hawj cangqbungz; ij aeu saeqsaeq nuenxnuenx maemaz ma daemj guh boiq hwj veiz. Mienh baixnamz de gij raez de ij miz seiqcib haj mij
EXO.27.10	ij aeu ngeihcib diuz dongh daiqlienz ngeihcib aen cap doengz ma guh venj boiq hwj veiz. Doenghgij ngaeu gwnz de caeuq doengh diuz gaq doxciep gwnz de cungj dwg aeu ngaenz ma guh. 
EXO.27.11	Mienh baixbaek caemh ij miz seiqcib haj mij
EXO.27.12	“Mienh baixsae de ij miz ngeihcib ngeih mij haj
EXO.27.13	Mienh baixdoeng de, 
EXO.27.14+EXO.27.15	Bakdou dih song mbiengj de, moix mbiengj caemh ij miz caet mij
EXO.27.16	“Bakdou veizciengz caemh ij miz gouj mij
EXO.27.17	Doengh diuz gaq baixgwnz ciep doengh diuz dongh veizciengz hih, caeuq gij ngaeu gwnz diuz dongh hih ij aeu ngaenz ma guh; doengh aen cap de ij aeu doengz ma guh.
EXO.27.18	“Cangqbungz dih veizciengz ij miz seiqcib haj mij raez, ngeihcib ngeih mij haj gvangq, song mij sam sang.
EXO.27.19	Cangqbungz gak mwnq soj yungh dih doxgaiq hah, doengh diuz ding hah, caeuq sojmiz hih doengh diuz ding veizciengz hah, cungj dwg aeu doengz ma guh.
EXO.27.20	“Mwngz ij raengq gij vunz Hijswzlez, hawj gyoengqde aeu gij youz makmbi daj ndaw rum daem okdaeuj mij'z youz giek he cenmonz aeu ma diemj daeng he, dawz daeuj hawj mwngz diemj daeng; haemhhaemh cungj ij rongh daeng cij ndaej. 
