MAT.1.1	Devit ninado Abraham nah sapfii mpou Jisu Kristamah adoidoi tiisii lungkahum Pfiitat mah larek.
MRK.10.26	Teito ahnyii tei tampei kalak tiisii sung gatakle, ninado mpou dakii tamle, “Teitiileponii tanii kei- kapyii tei dou wobuipo?”
MRK.10.27	Jisunii ahnyiigo jusii tamle, “Meinahnanii ai ai tiipei wolakle, nlenii Saraa-nanii mah kado tiipei kalak gale.”
MRK.10.28	Teito Pitarnii Jisuda tamle, “Julo, nyiimah kalei hangtei toi aisii nyiinii gutai swi wotakle.”
MRK.10.29	Jisunii tamle, “Kasangpii Inii gonyii dakii tam leile, gujangpii ninado kabi rasam jangpii, kihang, taikarhii sungkatingmei, taipwimei, pwi-pfii, taa-nahmei, luhangdo kata kangkanii toi aileponii, 
MRK.10.30	mpounii toi tinglangki kaset kalak dou katu njasii kihang, tai karhii sungka- tingmei, taipwimei, pwi-pfii ninado luhang njai haikii, sateichii gongtang karam tinglang ki kalui kaga karing tiilung doutangle. 
MRK.10.31	Nlenii aitoi kareimei hangkanii natu tangle sateichii aitoi nasii kalei meihang kanii reitu tangle.”
MRK.10.32	Sateichii Jisu ninado mpou- boumei tei toinii Jerosalem ki pitang karam jangpii pwidito tatlei takle, sateichii Jisunii mpouboumei doirei- sii tat leile; sateichii ahnyii tei hingtakle sateichii tailamto switat kaleimei tei hingtakle; sateichii Jisunii keariisiinakhii gotei sipii pangsii mpou gamto kadapei pat tangpo katu ralipyiitu takle. 
MRK.10.33	Mpounii ahnyii dakii tamle, “Julo, nyiinii Jerosalemki tatpi leile; teito meinah sapfii mpou gotei Tingdimei ninado Ajaitingshang kati ojamei bah kikii pyiitoi tang takle, teito ahnyiinii mpougo tam mashyiisii gitoi tangle, sateichii lui kakimei bah kikii pyiitoi tangle; 
MRK.10.34	teito ahnyiinii mpougo dzyii nuitangle, mpou ju gamkii poktai maswikai tangle, mpougo lak tangle, sateichii mpougo gitangle, sateichii jangtumnii tai mpounii ringkhii tangle.”
MRK.10.35	Sateichii Zebedi nah Jems nei Jon nii Jisuda gongsii tamle, “Ma- dhiikapyiipii, neinii kakhang hangtei nangnii neijangpii tiikasei mareile.”
MRK.10.36	Teito Jisunii ah neigo tamle, “Gonei jangpii n-gu kadapei tiisei matunyiipo?”
MRK.10.37	Teito mpoupiinanii mpou dakii tamle, “Nangnii pumtei kava haisii gomah sagongbam kito kabampiinei nei hangnago gobah ajiilamkii hangninii go bilamkii hangniniigo mbam seilo.”
MRK.10.38	Nlenii Jisuniiahnyii dakii tamle, “Gonyiinii kadapei khangleipo katu gonyiinii timakle, Inii kasak peek tei gonyii poisak wobuipo? Sa- teichii Inii dwi mpum kalu takumpii gonyii dwi mpum wobwipo?”
MRK.10.39	Sateichii ahnyiinii mpouda tamle, “Nle,” teito Jisunii ahnyii dakii tamle, “Inii kasak peek tei gonyiinii poisak tangle sateichii Inii dwi mpum kalu takumpii gonyiinii dwi mpum tangle; 
MRK.10.40	nlenii gobah ajiilamto ninado gubah abilamto mbam tang karam jangpii kalai tang karam ai gu tei gale; nlenii teiteinii tiida kabam mei jangpiile.”
MRK.10.41	Sateichii mpou boumei kakimei kearii teinii tei shii wosek-kii, ahnyiinii Jems ninado Jon go rarhii takle. 
MRK.10.42	Teito Jisunii ahnyiigo mpou dakii lat magongsii tamle, “Lui kakimei teinii ahnyii kak kito kadi kathangmei teinii ahnyiigo apum tiile, sateichii ahnyii mah kadimei teinii ahnyiigo apum katiimei tha tei matiile katu ai gonyiinii tile. 
MRK.10.43	Nlenii gonyii kaktonii aitiilakle, nlenii gonyii kak kito kata kangkanii dinyiileponii, ahnii meihang mah nga-ngatangle. 
MRK.10.44	Sateichii gonyii kak kito mei kata kangka reikanyii mei teinii meihang mah kikaleimei tiitangle. 
MRK.10.45	Kadapokii meinah sapfii mpou teiniido nga-ngasei matutang karam jangpii gongmakle, nlenii nga ngalesii sateichii mpou mah karing tei meihang kago keipyii tang karam jangpii pyiilesii gongle.”
MRK.10.46	Sateichii ahnyiinii Jeriko ki gongle, sateichii Jeriko kito mpounii mpouboumei ninado meimoigo kaswisii tat kapat tinglangki, Temos nah mik kachetpii Bartimos mah kahapii tei pwidi kuto bamle. 
MRK.10.47	Sateichii mpounii Nazaretki Jisu gong kalei tei shii wosek-kii, mpounii saa mpat takle, “Devit nah sapfii mpou Jisu, n-gu lungsyii pyiilo!” 
MRK.10.48	Teito mei kamoi kanii mpougo malhii sulosii n-gisii tamle, nlenii mpounii kisii lat teisii kisii saa tutakle, “Devit nah sapfii mpou, n-gu lungsyii pyiilo.”
MRK.10.49	Teito Jisunii sat takle ninado tamle, “Mpougo latlo,” teito ahnyiinii mik kachetpii gotei lat takle, ahnyiinii tamle, “Rangalo, tusat tolo, mpounii n-go lat leile.”
MRK.10.50	Teito mpounii mpou peimani tei goutoisii ntingtaktu sat totakle ninado Jisuda pile.
MRK.10.51	Sateichii Jisunii mpouda tamle, “Inii gojangpii kadapei tiikapyii mareipo?” Teito mik kachetpii teinii tamle.
MRK.10.51	“Madhiikapyiipii, go-mik ngou matulo.”
MRK.10.52	Jisunii mpou dakii tamle, “Tat tulo, gomah kamalum teipiinii n-go tii-mbipyii takle;” teito binasek-kii mpounii mik ngou wotakle sateichii pwidito Jisutai switu takle.
MRK.11.1	Sateichii ahnyiinii Jerosalem- ki liit manang sek-kii, Olip zang gamto kalei Bethpage ninado Betani kikii, Jisunii mpou boumei hangnago lang matu takle. 
MRK.11.2	Sa- teichii mpounii mpoupiina dakii tamle, “Gonei doito kalei nam kitei tatliitlo, goneinii teiki tei tatliit sekchii, mei kaniido tongsang tong kasu takoinah hangninii reng kuika- bam ngoutangle, teitei reng hek mpat tosii aiki baagonglo. 
MRK.11.3	Teito mei kata kangkanii goneigo, ‘ai kadajangpii aitiiziikhe?’ sii tam lepochiinii, ‘abang- piinii aigo mareile ninado manoisek aiki baapatpyii loitang lesii tamlo.’ ”
MRK.11.4	Teito mpoupiinanii tat tutakle, sateichii puibak kadi, ki kamwiku kikii takoi nah reng kuikabam tei ngoutakle; sateichii mpoupiinanii rengtei hektoi aitakle. 
MRK.11.5	Sateichii teikito satsii kalei mei teinii mpou- piina dakii tamle, “Gonei dajangpii takoinah gotei reng hektoi leipo?”
MRK.11.6	Teito mpoupiinago Jisunii tam kapyii takumpii mpoupiinanii ah- nyiigo tam takle, sateichii ahnyiinii mpoupiina gotei mpat pyii takle. 
MRK.11.7	Sateichii mpoupiinanii takoinah tei Jisuda baagongle sateichii ahnyii pei tei takoinah gamkii kam wotakle, sateichii Jisunii takoinah gam tei tong wotakle. 
MRK.11.8	Sateichii mei kang- kanii ahnyii pei tei pwidikii kamle, sateichii kaki mei teinii lu kito ting hiinhii keksii pwidikii kampyiile. 
MRK.11.9	Sateichii mpou doito rei kaleimei ninado mpou-tai switat kalei mei hangteinii saatu takle, “Hosanna! Bangpii zei kito kagongpii tei doibile! 
MRK.11.10	Nyii pfii Devit mah gong kalei Sagong sazyii tei doibile, Hosanna, kasagoi goisang kito.”
MRK.11.11	Teito mpounii Jerosalemki liitle, sateichii Saraa kamaningki lungtei tatliitle; sateichii mpounii n-nuk nryiisii mahlyii hang go jule, nlenii tinglang tei rigong sek-kii, mpouboumei keariisiinakhiigo ka- swisii Betani ki tat-tu takle.
MRK.11.12	Kanapiinei leimik ahnyiinii Betani kito kagong tinglang kaktei mpou moi majyii takle. 
MRK.11.13	Sateichii kadhii kito ju mpat anhii kalei kadiit- bang hangninii mpounii ngoutakle, teito Jisunii kadiit-ti mati leido malahlesii tatpat jule, mpounii kadiitbang kutei tatliit jukii samah kado ngoumakle, nlenii kadiitnhii roinii ngoule, dapochiinii kadiit-ti kamati tinglang makle. 
MRK.11.14	Teito Jisu- nii kadiitbang gotei tamle, “Tingnei sekpii mei kaniido godato ti chiika- nhiilo.” Sateichii mpouboumeinii teitei shiitakle.
MRK.11.15	Teito ahnyiinii Jerosalemki liitle, sateichii mpounii Saraa kama- ning kilungtei liitsii tei kito ali-ala tiisii kaleimei gotei baatoitu takle sateichii sanah-swi heksii kalei mei mah tebel tei tuikalui toi aitakle sateichii mahou joi kaleimei bam teido tuikalui toi aitakle. 
MRK.11.16	Sateichii Jisunii Saraa kamaning kilungto mah kado poitat matu sutakle. 
MRK.11.17	Sateichii mpounii ralipyiisii ahnyiigo tamle, “Gu ki ai lui hang jangpii kariitaki lat tanglesii ryiibam makpo?”
MRK.11.18	Sateichii tingdimei ninado ajaitingshang kati ojamei hangteinii ai ai shii wotakle, teipiinii ahnyiinii Jisugo gitang karam bak fiitu takle, ahnyiinii mpougo hingle, dapochiinii mpounii ralikapyii kito mei kalei kaga sung gatakle.
MRK.11.19	Sateichii tingkhii lam liit sek- kii, Jisu ninado mpou boumei hang teinii teiki namdi kiteito tatpat takle.
MRK.11.20	Kanapiinei tingchoi nukii, ah- nyiinii pwidi tat kapat tinglang kak, kadiitbang tei bang amaa katang tai kaga tei ahnyiinii ngoutakle, 
MRK.11.21	teito Pitarnii pat kalei tei maning gongsii Jisuda tamle, “Madhiikapyiipii, julo, nangnii sheeng kalei kadiitbang tei tai takle.”
MRK.11.22	Teito Jisunii ahnyiigo kheka- latle, “Saraa dakii kamalum tei leilo. 
MRK.11.23	Inii gonyii dakii kasangpii tam leile, ‘Mei kata kangkanii zang aigo, nang tusii dwijai lungkii toikai ailo,’ sii tam leponii sateichii ah lungto maning kariirhii tei galeponii, ahnii katam tei madou supii patling tangle katu malum leponii, teitei ah dakii tiipyii tangle. 
MRK.11.24	Teijangpii Inii gonyii dakii tam leile, nangnii riitasii mah kata kara kakhang tinglang kak, teitei nangnii doutakle katupii nang- nii malumlo. 
MRK.11.25	Sateichii gonyiinii riita tang karam jangpii tu kasat tinglang kak, mei kata hangninii gamkii gonyii lung samou kasu tei leile dinchiinii, gonyiinii magapyiilo, sating gamto kalei gonyii pfiiniido gonyii mah kakui kama hangtei ma- gapyii tang karam jangpii.” 
MRK.11.26	(Nlenii nangnii magapyii suleponii, sating gamto kalei go pfii teiniido gokem kama tei magapyii lakle.)
MRK.11.27	Ahnyiinii Jerosalemki nlaigong loile, Jisunii Saraa kamaning ki lungto tat kalei tinglang kak tingdimei, ajaitingshang kati ojamei sateichii katingmei hangteinii mpouda gongle. 
MRK.11.28	Teito ahnyiinii Jisu dato n-nhiile, “Nang kada tei leilesii tha hang ai tiileipo?”
MRK.11.29	Teito Jisunii ahnyiida tamle, “Inii gonyiigo sam kaangkii n-nhiitangle, teito gonyiinii n-gu khelapyii leponii, Inii kada tei leisii tha hang ai tiileipo katu Inii gonyiigo tampyii tangle. 
MRK.11.30	Jon dwi mpum kapyiipii mah tei ai kada kito gongpo? Mei dato manii Saraa datopo?” N-gu tampyiilo.
MRK.11.31	Teito ahnyii roinapiinii kara- shiitu takle, “Sating gamto lesii nyiinii tam leponii, sateinii ‘gonyiinii dajangpii mpougo malum makpo?’ tangle. 
MRK.11.32	Nlenii nyiinii ‘mei dato lesii tam depo’?” ahnyiinii meigo hingtakle, dapochiinii Jon aigo Lungkaka- lingmei hangninii kasangle katupii poi lahokle. 
MRK.11.33	Teipiinii ahnyiinii Jisugo khekalatle, “Nyiinii timakle,” teito Jisunii ahnyii dakii tamle, “Kadapei tei leisii Inii tha hang ai tiileipo katu Iniido gonyii dakii tampyii lakle.”
MRK.12.1	Sateichii mpounii ahnyiigo ndasam piinii tamtu takle; “Mei hangninanii darkha toipyiilu hangninii tiisii, toipyiilu tei araangh katbang aitakle, teito mpounii darkhati jou karyii tang karam jangpii ahom hangninii poi wotakle, sateichii kakoiki kasagoi bam hang- ninii tiiwotakle. Sateichii mpounii darkha toipyiilu tei lu liipeimei dakii pyiitoisii sazyii kaki ki tat tu takle. 
MRK.12.2	Sateichii darkhati tei kare tinglang gong sek-kii, Bangpiinii darkhati lu liipei mei dateito lu liipei mai khang- losii mpouki kalei mei hangniniigo langle. 
MRK.12.3	Teito ahnyiinii mpougo jumsii datle, sateichii mpougo bah marongpii mpatpyii takle. 
MRK.12.4	Sateichii bangpiinii mpouki kalei mei kaki hangniniigo lang loile, teito ahnyiinii mpougo phyiibung datriitpyii takle sateichii mpougo tiisangampyii takle. 
MRK.12.5	Sateichii mpounii mpouki kaleimei kaki hangniniigo lang loile, teito ahnyiinii mpougo gitakle, sateichii ahnyiinii kaki kakimei daziikago aitiisii tiitakle, kangkago datle sa- teichii kangkago gitoile. 
MRK.12.6	Mpoumah kaki hangninii lei loile, teiteinii mpounii lungsyii kaki mpounah sapfii mpou teile; ahnyiinii gunah sapfii mpou aigonii sadzyii ngariit tiitang manasii maningsii kalui luisang kito mpougo ahnyii dakii langkai takle. 
MRK.12.7	Nlenii lu liipei mei teinii ahnyii rangtiisii karashiitu takle, ‘Ai ai mahtou toutang karampii teile, patlo, nyiinii mpougo gi aileje, teito nyiinii mpou mah kabam hangtei tou wobuile.’ 
MRK.12.8	Teito ahnyiinii mpougo jumsii gi aitakle, sateichii darkha toipyiilu kiteito rat toi aitakle.
MRK.12.9	“Teitii leponii darkha toipyiilu mah Bangpii teinii kadapei tiitangpo? Mpounii gongsii lu liipeimei gotei tiimaga aitangle, sateichii darkha toipyiilu tei mei kakimei dakii pyiitoi aitangle. 
MRK.12.10	Gonyiinii kamatei kabi rasam kikii ryiikabam tei fiisutakde: ‘Ki katiimeinii rat toi kalei kuitu tei hang kakto roukatii tiisang aki kaa kuitu tiitakle. 
MRK.12.11	Ai ai Bangpiinii tiikapyiile sateichii ai ai mik kitonii kamadatle!’ ”
MRK.12.12	Teito ahnyiinii Jisugo jumlesii tiile, dapochiinii Jisunii ahnyiigo nda tiisii tamziile katu tei ahnyiinii titakle, nlenii ahnyiinii meimoi gotei hingtakle; teipiinii ahnyiinii mpougo toi aisii tat tutakle.
MRK.12.13	Sateichii ahnyiinii Jisu mah samtam kito jum kabui jangpii maningsii Farasismei ninado Herot- mei kangkago mpou dakii langkaile. 
MRK.12.14	Teito ahnyiinii mpouda gongsii tamle, “Madhiikapyiipii, nangnii kasang sam tam leile katu nyiinii tile, sateichii nangnii meigo kado hinglei makle, kadapokii nangnii kasana kasagoi julei makle, nlenii Saraa mah kasang pwidi tei Nangnii tam ralipyiile. Nyiigo tam pyiilo, Sijar-go aha kapyii ai ajai makpo? Nyiigo pyiilo manii pyii sulopo?”
MRK.12.15	Nlenii ahnyii lung kabijai katii tei Jisunii ngou wosii tamle, “Gonyiinii n-gu dajangpii ajai juleipo? Guda sanahgyii hangninii poigonglo, tei tei Inii jule.” 
MRK.12.16	Teito ahnyiinii mpouda sanahgyii hang- ninii poigongle, sateichii mpounii ahnyii dato n-nhiile, “Phyiibung ninado zei ai tamahpo?” Ahnyiinii mpouda tamle.
MRK.12.16	“Sijar mahle.” 
MRK.12.17	Teito Jisunii ahnyiida tamle, “Sijarmah tei Sijar dakii pyiilo sateichii Saraa mah tei Saraa dakii pyiilo,” teito ahnyiinii mpougo sung gatakle.
MRK.12.18	Sateichii katai kito ringkakhii katu ai galesii tam kalei Sadhumei kangkanii mpouda gongsii n-nhiile, 
MRK.12.19	“Madhiikapyiipii, Moses-nii nyii jangpii ryiipyii bamle, ‘Sapfiimei kata hangninanii nah gasii mpounou go taidek leponii, mpoutaikarhiimei teinii mpou nou gotei manousii mpou sanapii jangpii atat-reng tei mbamlo ziile.’ 
MRK.12.20	Tinglang hangniniiki ndou sanamei sana leile, katingpii tei nou tiisii nah gasii taitakle. 
MRK.12.21	Teito mpou-tai karhii hangna kashangpii teinii, sapwi mpei gotei manou wotakle, sateichii mpoudo nah gasii taitakle, hangtum kashangpii teiniido tei takumpii pat takle. 
MRK.12.22	Teitiisii sanamei sana tei atat lusupii taitakle, kalui kito sapwi mpei teido taitakle. 
MRK.12.23	Ringkakhii piinei sapwi mpei teinii ahnyii kakto tapii noule tangpo? Dapokii ahnyii sanamei sana teinii mpoupeigo manou takle.”
MRK.12.24	Jisunii ahnyiida tamle, “Gonyii kabi rasam ninado Saraamah teima- ham tei timakle aijangpii gonyiinii maziimakpo? 
MRK.12.25	Dapochiinii ahnyiinii kataimei kakto ringkakhii tinglangki tei ahnyiinii kalakna katii teimakchii myiikapang katu tei gale, nlenii ahnyii teinii sating gamlui takum tangle. 
MRK.12.26	Sateichii kataimeinii ringkakhii mah kaang kito, Moses mah larek kikii ryii kabam, rangum kito mi kashong mah njai tei gonyiinii fiisang fiimakde? Teiki teito aitiisii ryiibamle, katunii, Saraanii Moses go tamle, ‘Inii Abraham, Isak ninado Jakob mah Saraale.’ 
MRK.12.27	Mpounii karing mah Saraale, katai mah makle, gonyiinii hangkapii ma-aitakle.”
MRK.12.28	Sateichii ahnyiinii sam nhiipat nhiiliit kalei tei ajaitingshang kati ojamei hangninanii shii wosii, satei- chii mpounii ahnyii dakii tiigatpii khekapyii tei ti wosii, mpouda gongsii mpougo tamle, “Kakhatsam hang kak kito kadapii ainii karei reisangpo?”
MRK.12.29	Jisunii mpougo khekalatle, “Kakhat sam hang kak kito karei reisang teinii aile; ‘oh, Isrelmeinah shiipyiilo, nyii Bangpii nyii Saraa teinii Bangpii hangninii roile. 
MRK.12.30	Sateichii nangnii go Bangpii go Saraa gotei go lung matum ma- dumpii, gorangii matum madumpii, goswi matum madumpii, sateichii gomah teimaham matum madumpii haisii lungsyii tangle.’ 
MRK.12.31	Hangna kashang teinii aile, ‘Goki tiinanii- pameigo nangnii goroinapii n-go lungkasyii takumpii lungsyiilo.’ Ai hangnasung dikaki kakhatsam kaki gale.”
MRK.12.32	Teito Ajaitingshang kati ojamei teinii Jisuda tamle, bitakle, Madhii- kapyiipii, Nangnii kasang tei tam takle, Saraa teinii hangninii roile, Ah supiinii kaki gale; 
MRK.12.33	sateichii lung matum madumpii, lung-swi matum madumpii, rangii matum madumpii ninado teimaham matum madumpii haisii Saraago lungkasyii, sateichii ki tiinaniipameigo mpounii mpou roinapii mpougo lungkasyii takumpii lungkasyii ainii Saraa dakii kouring mi-rusii pyiikatoi ninado kakarat hang sung kile.
MRK.12.34	Mpounii sakaisii tiigatpii khela kapyii samtei ngou wosii Jisunii mpou dakii tamle, “Nang Saraa mah sagong sazyii kito dhiimakle,” tei taitonii mei kaniido mpougo kaka- chyii sam hangninii kado n-nhii hingtakle.
MRK.12.35	Jisunii Saraa kamaning kilungto ralipyiisii kalei tinglang kak, mpounii tamle, “Ajaitingshang kati ojameinii, Krista ai Devit nah sapfii mpoule katu kadakumpii tam leipo? 
MRK.12.36	Rangii kamateinii Devitgo miitkai pyiisii tamle,
MRK.12.36	‘bangpiinii gu Bangpii dakii tamle,
MRK.12.36	Inii n-go ngou karoumei gotei Inii gopi pazhii kangkii poikai kasuta,
MRK.12.36	gubah jiilam pangto bamlo.’
MRK.12.37	Devit sekpiinado Mpougo Bangpii latle; teipiinii mpou ai kada takumpii Devit nah sapfii mpou tangpo?” Sateichii meimoinii mpou sam tei ntasii shiipyiisii leile.
MRK.12.38	Sateichii mpounii ralipyiisii kalei kito aitiisii tamle, “Paijou kathang kaisii sali kijangto meinii sadzyii ngariit katii kamareimei, 
MRK.12.39	Jehudimei mah ndwibamni hang kito bam kabiki bam kanyiimei ninado takbai lyii nito sadzyii ngariit katiibam kamarei mei, 
MRK.12.40	kamipwi- meigo kasatui ninado kamipwimei ki kasoumei, sateichii kabijai tiisii thaangsang riita kaleimei gotei gonyii sakailo. Ahnyiinii mage kaki tei doutangle.”
MRK.12.41	Sateichii mpounii Saraa kama- ning ki sanabung doitei bamsii, meimoinii kada takumpii sana tei toikai leiposii jule, kanimei kadaziikanii hang hang toikaile, 
MRK.12.42	teito mah kaga kamipwimei hang- ninii gongsii sanaswi hangna toikai takle, teiteinii paisa pumkii takumle, 
MRK.12.43	teito mpounii mpouboumeigo mpouda lat magongsii ahnyii dakii tamle, “Inii kasangpii gonyii dakii tam leile, Sanahbung aikikii toikaisii kaleimei hang kakto, mah kaga kamipwi mpei ainii toikai kamoipiile. 
MRK.12.44	Kadapokii ahnyiihangnii ahnyii mah kaki ka-nrai ki teito toikaile, nlenii sapwi mpei ainii mpoupei mah mah kaga kiteito mpoupei mah kabam hang, katunii mpoupei mah ring kabui matum madum tei toikai aitakle.”
MRK.13.1	Jisunii Saraa kamaning ki lungto tat kapat tinglang kak, mpou boumei hangninanii tamle, “Madhiikapyiipii, julo, kuitu hang ninado ki hang ai daziikapii ma- datpo!” 
MRK.13.2	Jisunii mpouda khekalatle, “Nangnii ki kadi hang ai ngoumakpo? Kuitu hangninii kado kashoisii kaibam lakle, matum madum tei tiikou aitangle.”
MRK.13.3	Sateichii mpounii saraa kama- ning ki lampangkii ju karyiisii Olip zang gamto bamsii kalei kak, Pitar, Jems Jon ninado Andhrunii mpougo makumpii n-nhiile, 
MRK.13.4	“Nyiigo tampyiilo, ai kadadou pat tangpo, sateichii ai kakum hang ai gongtuna kadapei tiimangou tangpo?”
MRK.13.5	Teito Jisunii ahnyii dakii tamtu takle, “Mei kaniido gonyiigo chyii- tatma lak tang karam jangpii sakai wolo. 
MRK.13.6	‘I-Mpou teile, sii hangka gu zei kito gong tangle; teito mei hang- kago ahnyiinii chyiitatma tangle. 
MRK.13.7	Sateichii gonyiinii satii saryii sam ninado saryii sam kahi katu shiigong chiido lung mage sulo, ai kakum hang ai pat tangle, nlenii kalui tinglang teinii makle. 
MRK.13.8	Kadapokii Lui hangninanii lui hangninii phyii- ryiikii, sagong sazyii hangninanii sagong sazyii hangninii phyiiryiikii saryii tiitu tangle, bam katham katham kito malyii chyiitu tangle, aihang ai kamage kalak pat tutang karam abang teile.
MRK.13.9	“Gonyii rangtiisii sakai wolo; dapochiinii ahnyiinii gonyiigo jumsii samtak-ki pangkhii tangle; sateichii Jehudimei mah ndwibamni hang kito gonyiigo dat tangle, sateichii gonyii- nii gu jangpii sakchyii pyiimatu tang karam jangpii sazyii apum katiimei ninado sagongmei doito sat tangle. 
MRK.13.10	Sateichii lui hangda kabi rasam tei reipii tam ai tangle, 
MRK.13.11	teito ahnyiinii gonyiigo jumsii pyiitoi kalei tinglang kak tei gonyiinii kadapei sam tam tangposii lung mage sulo, nlenii tei tinglang sek teikii mati kapyii tei gonyiinii tamlo, dapokii tam kalei tei nangnii makle, nlenii rangii kamateiniile. 
MRK.13.12	Sateichii asanapiinii asanapiigo ninado Pfiinii nah-go tai matu tang karam jangpii pyiitoi tangle; nahmeinii pwi-pfiigo mazhiirou tangle, sateichii ahnyiigo gi malei tangle. 
MRK.13.13	Meihangnii gonyiigo gu jangpii ngourou tangle, nlenii kalui katang leh kalumei teinii keikapyii tei doutangle.
MRK.13.14	“Nlenii kahing ngou ka-nraang teinii satjyii kasu bam kiteito sat kalei tei gonyiinii ngou kalei tinglang kak, (kafiimeinii tiwolo) tei kak tei Judiya kito kalei mei teinii zang hangki pak kai matulo. 
MRK.13.15	Ki kapou phyiiryiito kaleipii teinii kilungto kalei mah kata kara poi mpat tang karam jangpii hum matu sulo, liitdo liit matu sulo. 
MRK.13.16	Sateichii lu kito kaleipii teinii ki nlaigong mpou nat poi matu sulo. 
MRK.13.17	Sateichii moi mpung kalei mei pwi sateichii nah napamsii kalei mei jangpii teidou tei doishyiile. 
MRK.13.18	Ai kakum hang ai siitaidou pat kasu tiisii gonyiinii Saraago riitalo. 
MRK.13.19	Kadapokii Saraanii mahlyii tii- kapyii saroi sekto tingnei katangpii pat sang patlei kasu ninado patdo patloi kalak teiziikii mage kadi leimik hangtei gong tangle. 
MRK.13.20	Sa- teichii Bangpiinii leimik hangtei tiimadui pyiisu lepochiinii, meikado keikapyii dou wolakle, nlenii Bang- piinii kapai kalumei, jangpii leimik hang ai tiimadui pyiitakle.
MRK.13.21	“Sateichii tinglang teikak tei, mei kata hangninanii, julo, aiki Krista leile, makchii, julo, Krista louki leile sii gonyiigo tam lepo- chiinii, teitei gonyiinii malum sulo. 
MRK.13.22	Kadapokii Krista zei katiimei ninado Lungkakalingmei zei katii pat tangle, sateichii tiikabuinii, Saraanii kalei kalumei go katangdo chyiitatma tang karam jangpii tiikamangou ninado kamadat tha hangdo tiimangou tangle. 
MRK.13.23	Nlenii sakailo, matum madum tei Inii gonyii dakii reipii tampyii takle.
MRK.13.24	“Kamage kamarhii tinglang hangtai tei, leimik tei myiitangle, sateichii sakhii teiniido valakle, 
MRK.13.25	sating gamto sageiti hang teido tak hum tangle, sateichii sating gam teimaham hangdo nlai tangle. 
MRK.13.26	Sateichii meinah sapfii mpou tei kamong phyiiryiito teimaham ninado pumtei kava kito kahum tei ahnyiinii ngoutangle. 
MRK.13.27	Teito mpounii Sating gamluigo lang mpat tangle, sazyii nlai sekto sating nlai katang, siika madaito mpounii kalai kalumei hang gotei poi ndwi tangle.
MRK.13.28	“Kadiitbang gamto ndasam tei madhiilo, kadiitbang ainii kha madeksii nhii karanu boipat tusek-kii salumdou tei gonglei takle katu tei gonyiinii tile. 
MRK.13.29	Tei takumpii aikakum hang ai pat katu gonyiinii ngou sekchii, tinglang tei natakle, ki kamwiku sekto leitakle katu tei gonyiinii tilo. 
MRK.13.30	Kasangpii Inii gonyii dakii tam leile, ai kakum hang ai pat kasuta, aiha ai gatu lakle; 
MRK.13.31	Sating ninado sazyii tei gatu tangle, nlenii gu sam hang ainii gasang galakle.
MRK.13.32	“Nlenii leimik ninado tinglang tei kadadou tangpo katu tei sating gamto kalei Apfii tei supiinii sating gamto kalei Sating gamlui ninado meinah sapfii mpou teiniido timakle. 
MRK.13.33	Sakailo, tiikadalo, dapochiinii tinglang tei kadadou gong tangpo katu gonyiinii timakle. 
MRK.13.34	Teiteinii mei hangninanii mpouki toisii sazyii kaki hangninii ki mbui katu, mpouki kaleimei hang go mpou mpoumah tha tiitang karam nsang nsangtei pyii kalei; sateichii ki takam kakoipii godo tiikadalo sii kakhat kapyiipii takumle. 
MRK.13.35	Teijangpiinii tiikadalo, Kadapokii aki pumpii teinii ting- khiilam makchii tinghum asumkii, makchii ting valiit kasunii makchii tingchoi kagong tinglang tei gonyiinii timakle. 
MRK.13.36	Mpounii nlai kagong kak gonyiinii zyiisii kalei doudo malahle. 
MRK.13.37	Sateichii Inii gonyii dakii tam kalei ai Inii meihang dakii tam leile: Tiikadalo!”
MRK.14.1	Leimik hangnatai tei kaa- kamaju mah takbai ninado ahee kaihai kasu tiirok takbai tei hang-ngi lesii bam takle, sateichii tingdimei ninado ajaitingshang kati ojamei hang teinii mpougo dakum- piinii makumpii jumsii gitangpo katu pwidi tei fiitu takle; 
MRK.14.2	dapochiinii ahnyiinii tamle, “Hang-ngi tinglang kaknii sulo, kadapokii mei machiinii nrungtu tangle.”
MRK.14.3	Sateichii mpounii Betani ki kabam kak, tiigyiira tchiisii kaleipii Simon kilungto mah chiisii kalei tinglang kak, sapwimei hangninanii kairum kabi mai kating thao kui- tubung hangninii poisii gongle; sateichii mpoupeinii thao bung tei tiipaksii mpou phyii gamkii rui- kaipyii takle. 
MRK.14.4	Sateichii ahnyiirang tiisii ahnyii kak kito lung samou supii kalei mei kangkanii tamle, “Kadajangpii aitiisii kamanuk thao ai tiikadak leipo? 
MRK.14.5	Kadapokii thao ai sana haisii rekngii sung kisii joitoisii mah kagameigo pyii wobuile.” Sateichii ahnyiinii mpoupei gotei sampeile.
MRK.14.6	Nlenii Jisunii tamle, “Mpoupei rang tiimatulo, dajangpii gonyiinii mpoupeigo tiimachang leipo? Mpoupeinii kabi ninado ngoukabi ngam tei gujangpii tiipyii takle. 
MRK.14.7	Kadapokii mah kagamei teinii taksupii gonyiinii kaswisii bamle, teipiinii gonyiinii tiikanyii tinglang hang kito gonyiinii ahnyiigo kabi tiipyii wobuile, nlenii Inii gonyiigo taksupii kaswisii bamhum lakle. 
